,Unnamed: 0,paths,c,r,e,n,text,error
43,43,DATASET/A1/c1/r1/images/e0/c1r1e0n44.tif,1,1,0,44,No error,1
44,44,DATASET/A1/c1/r1/images/e0/c1r1e0n45.tif,1,1,0,45,No error,1
45,45,DATASET/A1/c1/r1/images/e0/c1r1e0n46.tif,1,1,0,46,No error,1
46,46,DATASET/A1/c1/r1/images/e0/c1r1e0n47.tif,1,1,0,47,No error,1
47,47,DATASET/A1/c1/r1/images/e0/c1r1e0n48.tif,1,1,0,48,No error,1
48,48,DATASET/A1/c1/r1/images/e0/c1r1e0n49.tif,1,1,0,49,No error,1
49,49,DATASET/A1/c1/r1/images/e0/c1r1e0n50.tif,1,1,0,50,No error,1
50,50,DATASET/A1/c1/r1/images/e1/c1r1e1n1.tif,1,1,1,1,Pequeño agujero en la esquina inferior derecha.,2
51,51,DATASET/A1/c1/r1/images/e1/c1r1e1n2.tif,1,1,1,2,Pequeño agujero en la esquina inferior izquierda.,2
52,52,DATASET/A1/c1/r1/images/e1/c1r1e1n3.tif,1,1,1,3,Pequeño agujero en la esquina inferior izquierda.,2
53,53,DATASET/A1/c1/r1/images/e1/c1r1e1n4.tif,1,1,1,4,Pequeño agujero en la mitad izquierda de la imagen.,2
54,54,DATASET/A1/c1/r1/images/e1/c1r1e1n5.tif,1,1,1,5,Pequeño agujero en el centro de la imagen.,2
55,55,DATASET/A1/c1/r1/images/e1/c1r1e1n6.tif,1,1,1,6,Pequeño agujero en la esquina inferior izquierda.,2
56,56,DATASET/A1/c1/r1/images/e1/c1r1e1n7.tif,1,1,1,7,Pequeño agujero en la esquina inferior izquierda.,2
57,57,DATASET/A1/c1/r1/images/e1/c1r1e1n8.tif,1,1,1,8,Pequeño agujero en la parte inferior de la imagen.,2
58,58,DATASET/A1/c1/r1/images/e1/c1r1e1n9.tif,1,1,1,9,Pequeño agujero en la esquina superior derecha.,2
59,59,DATASET/A1/c1/r1/images/e1/c1r1e1n10.tif,1,1,1,10,Pequeño agujero en la esquina superior izquierda.,2
60,60,DATASET/A1/c1/r1/images/e1/c1r1e1n11.tif,1,1,1,11,Agujero de tamaño mediano en la mitad inferior de la imagen.,2
61,61,DATASET/A1/c1/r1/images/e1/c1r1e1n12.tif,1,1,1,12,Agujero de tamaño mediano en la mitad inferior de la imagen.,2
62,62,DATASET/A1/c1/r1/images/e1/c1r1e1n13.tif,1,1,1,13,Agujero de tamaño mediano en el borde inferior de la imagen.,2
63,63,DATASET/A1/c1/r1/images/e1/c1r1e1n14.tif,1,1,1,14,Agujero de tamaño mediano en la mitad inferior de la imagen.,2
64,64,DATASET/A1/c1/r1/images/e1/c1r1e1n15.tif,1,1,1,15,Agujero de tamaño mediano en la esquina superior izquierda.,2
65,65,DATASET/A1/c1/r1/images/e1/c1r1e1n16.tif,1,1,1,16,Agujero de tamaño mediano en la parte superior de la imagen.,2
66,66,DATASET/A1/c1/r1/images/e1/c1r1e1n17.tif,1,1,1,17,"Agujero de tamaño mediano en la esquina inferior izquierda y agujero pequeño

En el centro de la imagen.",2
67,67,DATASET/A1/c1/r1/images/e1/c1r1e1n18.tif,1,1,1,18,Pequeño agujero en la mitad izquierda de la imagen.,2
68,68,DATASET/A1/c1/r1/images/e1/c1r1e1n19.tif,1,1,1,19,"Agujero de tamaño mediano en la esquina inferior izquierda y agujero pequeño

En el centro de la imagen.",2
69,69,DATASET/A1/c1/r1/images/e1/c1r1e1n20.tif,1,1,1,20,"Agujero de tamaño mediano en la esquina inferior izquierda y agujero pequeño

en el borde derecho de la imagen.",2
70,70,DATASET/A1/c1/r1/images/e1/c1r1e1n21.tif,1,1,1,21,"Agujero de tamaño mediano en el lado izquierdo de la imagen y agujero pequeño

en la esquina inferior derecha.",2
71,71,DATASET/A1/c1/r1/images/e1/c1r1e1n22.tif,1,1,1,22,Pequeño agujero en la parte inferior de la imagen.,2
72,72,DATASET/A1/c1/r1/images/e1/c1r1e1n23.tif,1,1,1,23,Agujero de tamaño mediano en la esquina superior izquierda.,2
73,73,DATASET/A1/c1/r1/images/e1/c1r1e1n24.tif,1,1,1,24,"Agujero de tamaño mediano en la esquina superior izquierda y agujero pequeño en

la mitad inferior de la imagen.",2
74,74,DATASET/A1/c1/r1/images/e1/c1r1e1n25.tif,1,1,1,25,Pequeño agujero en la mitad izquierda de la imagen.,2
75,75,DATASET/A1/c1/r1/images/e1/c1r1e1n26.tif,1,1,1,26,Grieta de tamaño mediano en el centro de la imagen.,3
76,76,DATASET/A1/c1/r1/images/e1/c1r1e1n27.tif,1,1,1,27,Grieta de tamaño mediano en el centro de la imagen.,3
77,77,DATASET/A1/c1/r1/images/e1/c1r1e1n28.tif,1,1,1,28,Grieta de tamaño mediano en la esquina inferior izquierda.,3
78,78,DATASET/A1/c1/r1/images/e1/c1r1e1n29.tif,1,1,1,29,Grieta de tamaño mediano en la esquina inferior izquierda.,3
79,79,DATASET/A1/c1/r1/images/e1/c1r1e1n30.tif,1,1,1,30,Desgarro de tamaño mediano en el borde inferior de la imagen.,3
80,80,DATASET/A1/c1/r1/images/e1/c1r1e1n31.tif,1,1,1,31,Grieta de tamaño mediano en el centro de la imagen.,3
81,81,DATASET/A1/c1/r1/images/e1/c1r1e1n32.tif,1,1,1,32,Pequeña grieta en la esquina superior izquierda.,3
82,82,DATASET/A1/c1/r1/images/e1/c1r1e1n33.tif,1,1,1,33,Pequeño desgarro en la mitad superior de la imagen.,3
83,83,DATASET/A1/c1/r1/images/e1/c1r1e1n34.tif,1,1,1,34,Pequeño desgarro en la mitad superior de la imagen.,3
84,84,DATASET/A1/c1/r1/images/e1/c1r1e1n35.tif,1,1,1,35,Pequeña grieta en la esquina inferior derecha.,3
85,85,DATASET/A1/c1/r1/images/e1/c1r1e1n36.tif,1,1,1,36,Grieta de tamaño mediano en la esquina superior derecha.,3
86,86,DATASET/A1/c1/r1/images/e1/c1r1e1n37.tif,1,1,1,37,Grieta de tamaño mediano en la mitad derecha de la imagen.,3
87,87,DATASET/A1/c1/r1/images/e1/c1r1e1n38.tif,1,1,1,38,Desgarro de tamaño mediano en el borde superior de la imagen.,3
88,88,DATASET/A1/c1/r1/images/e1/c1r1e1n39.tif,1,1,1,39,Desgarro de tamaño mediano en el borde superior de la imagen.,3
89,89,DATASET/A1/c1/r1/images/e1/c1r1e1n40.tif,1,1,1,40,Grieta de tamaño mediano en la mitad izquierda de la imagen.,3
90,90,DATASET/A1/c1/r1/images/e1/c1r1e1n41.tif,1,1,1,41,Gran desgarro en la mitad izquierda de la imagen.,3
91,91,DATASET/A1/c1/r1/images/e1/c1r1e1n42.tif,1,1,1,42,Dos grietas en la mitad inferior de la imagen.,3
92,92,DATASET/A1/c1/r1/images/e1/c1r1e1n43.tif,1,1,1,43,Pequeña grieta en la esquina inferior derecha.,3
93,93,DATASET/A1/c1/r1/images/e1/c1r1e1n44.tif,1,1,1,44,Pequeña grieta en la esquina inferior derecha.,3
94,94,DATASET/A1/c1/r1/images/e1/c1r1e1n45.tif,1,1,1,45,Gran desgarro en la mitad inferior de la imagen.,3
95,95,DATASET/A1/c1/r1/images/e1/c1r1e1n46.tif,1,1,1,46,Gran grieta en la esquina inferior izquierda.,3
96,96,DATASET/A1/c1/r1/images/e1/c1r1e1n47.tif,1,1,1,47,Gran grieta en la esquina inferior izquierda.,3
97,97,DATASET/A1/c1/r1/images/e1/c1r1e1n48.tif,1,1,1,48,Gran grieta en la esquina inferior derecha.,3
98,98,DATASET/A1/c1/r1/images/e1/c1r1e1n49.tif,1,1,1,49,Gran desgarro en diagonal a través de la imagen.,3
99,99,DATASET/A1/c1/r1/images/e1/c1r1e1n50.tif,1,1,1,50,Gran desgarro en diagonal a través de la imagen y un pequeño desgarro en el borde derecho de la imagen.,3
100,100,DATASET/A1/c1/r1/images/e2/c1r1e2n1.tif,1,1,2,1,Pequeña mancha en el centro de la imagen.,4
101,101,DATASET/A1/c1/r1/images/e2/c1r1e2n2.tif,1,1,2,2,Pequeña mancha en la esquina inferior derecha.,4
102,102,DATASET/A1/c1/r1/images/e2/c1r1e2n3.tif,1,1,2,3,Pequeña mancha en la mitad superior de la imagen.,4
103,103,DATASET/A1/c1/r1/images/e2/c1r1e2n4.tif,1,1,2,4,Pequeña mancha en la mitad izquierda de la imagen.,4
104,104,DATASET/A1/c1/r1/images/e2/c1r1e2n5.tif,1,1,2,5,Pequeña mancha en la mitad superior de la imagen.,4
105,105,DATASET/A1/c1/r1/images/e2/c1r1e2n6.tif,1,1,2,6,Pequeña raya en la mitad inferior de la imagen.,3
106,106,DATASET/A1/c1/r1/images/e2/c1r1e2n7.tif,1,1,2,7,Pequeña raya en la mitad inferior de la imagen.,3
107,107,DATASET/A1/c1/r1/images/e2/c1r1e2n8.tif,1,1,2,8,Pequeña raya en el centro de la imagen.,3
108,108,DATASET/A1/c1/r1/images/e2/c1r1e2n9.tif,1,1,2,9,Pequeña raya en la mitad superior de la imagen.,3
109,109,DATASET/A1/c1/r1/images/e2/c1r1e2n10.tif,1,1,2,10,Pequeña raya en la mitad superior de la imagen.,3
110,110,DATASET/A1/c1/r1/images/e2/c1r1e2n11.tif,1,1,2,11,Franja arqueada en la parte superior central de la imagen.,6
111,111,DATASET/A1/c1/r1/images/e2/c1r1e2n12.tif,1,1,2,12,Raya arqueada en la esquina superior izquierda.,3
112,112,DATASET/A1/c1/r1/images/e2/c1r1e2n13.tif,1,1,2,13,Franja arqueada en la mitad izquierda de la imagen.,6
113,113,DATASET/A1/c1/r1/images/e2/c1r1e2n14.tif,1,1,2,14,Franja arqueada en la mitad izquierda de la imagen.,6
114,114,DATASET/A1/c1/r1/images/e2/c1r1e2n15.tif,1,1,2,15,Franja de tamaño mediano en la esquina superior izquierda.,6
115,115,DATASET/A1/c1/r1/images/e2/c1r1e2n16.tif,1,1,2,16,Mancha de tamaño mediano en la esquina inferior izquierda.,4
116,116,DATASET/A1/c1/r1/images/e2/c1r1e2n17.tif,1,1,2,17,Franja arqueada en la esquina inferior izquierda.,6
117,117,DATASET/A1/c1/r1/images/e2/c1r1e2n18.tif,1,1,2,18,Gran mancha en la mitad inferior de la imagen.,4
118,118,DATASET/A1/c1/r1/images/e2/c1r1e2n19.tif,1,1,2,19,Gran mancha en la mitad inferior de la imagen.,4
119,119,DATASET/A1/c1/r1/images/e2/c1r1e2n20.tif,1,1,2,20,Gran mancha en la mitad derecha de la imagen.,4
120,120,DATASET/A1/c1/r1/images/e2/c1r1e2n21.tif,1,1,2,21,Franja arqueada en la parte superior central de la imagen.,6
121,121,DATASET/A1/c1/r1/images/e2/c1r1e2n22.tif,1,1,2,22,Mancha grande en la esquina superior izquierda.,4
122,122,DATASET/A1/c1/r1/images/e2/c1r1e2n23.tif,1,1,2,23,Gran mancha en el centro de la imagen.,4
123,123,DATASET/A1/c1/r1/images/e2/c1r1e2n24.tif,1,1,2,24,Pequeña raya en la mitad superior de la imagen.,3
124,124,DATASET/A1/c1/r1/images/e2/c1r1e2n25.tif,1,1,2,25,Franja arqueada en la mitad izquierda de la imagen.,6
125,125,DATASET/A1/c1/r1/images/e2/c1r1e2n26.tif,1,1,2,26,Gran mancha de aceite en el centro de la imagen.,4
126,126,DATASET/A1/c1/r1/images/e2/c1r1e2n27.tif,1,1,2,27,Gran mancha de aceite en el centro de la imagen.,4
127,127,DATASET/A1/c1/r1/images/e2/c1r1e2n28.tif,1,1,2,28,Gran mancha de aceite en la esquina superior derecha.,4
128,128,DATASET/A1/c1/r1/images/e2/c1r1e2n29.tif,1,1,2,29,Gran mancha de aceite en el borde superior de la imagen.,4
129,129,DATASET/A1/c1/r1/images/e2/c1r1e2n30.tif,1,1,2,30,Gran mancha de aceite en el borde izquierdo de la imagen.,4
130,130,DATASET/A1/c1/r1/images/e2/c1r1e2n31.tif,1,1,2,31,Gran mancha de aceite en el centro de la imagen.,4
131,131,DATASET/A1/c1/r1/images/e2/c1r1e2n32.tif,1,1,2,32,Pequeña mancha redonda en la esquina superior izquierda.,4
132,132,DATASET/A1/c1/r1/images/e2/c1r1e2n33.tif,1,1,2,33,Pequeña mancha redonda en el borde superior de la imagen.,4
133,133,DATASET/A1/c1/r1/images/e2/c1r1e2n34.tif,1,1,2,34,Pequeña mancha redonda en el borde izquierdo de la imagen.,4
134,134,DATASET/A1/c1/r1/images/e2/c1r1e2n35.tif,1,1,2,35,Pequeña mancha redonda en el borde izquierdo de la imagen.,4
135,135,DATASET/A1/c1/r1/images/e2/c1r1e2n36.tif,1,1,2,36,Pequeña mancha redonda en el borde izquierdo de la imagen.,4
136,136,DATASET/A1/c1/r1/images/e2/c1r1e2n37.tif,1,1,2,37,Pequeña mancha redonda en el borde derecho de la imagen.,4
137,137,DATASET/A1/c1/r1/images/e2/c1r1e2n38.tif,1,1,2,38,Rayas más pequeñas en el centro de la imagen.,3
138,138,DATASET/A1/c1/r1/images/e2/c1r1e2n39.tif,1,1,2,39,Rayas más pequeñas en el borde inferior de la imagen.,3
139,139,DATASET/A1/c1/r1/images/e2/c1r1e2n40.tif,1,1,2,40,Rayas más pequeñas en el borde inferior de la imagen.,3
140,140,DATASET/A1/c1/r1/images/e2/c1r1e2n41.tif,1,1,2,41,Franja grande en la mitad inferior de la imagen.,6
141,141,DATASET/A1/c1/r1/images/e2/c1r1e2n42.tif,1,1,2,42,"Franja grande en la mitad inferior de la imagen y franja pequeña

en la parte superior de la imagen.",6
142,142,DATASET/A1/c1/r1/images/e2/c1r1e2n43.tif,1,1,2,43,Franja grande en la mitad izquierda de la imagen.,6
143,143,DATASET/A1/c1/r1/images/e2/c1r1e2n44.tif,1,1,2,44,"Franja grande en la mitad derecha de la imagen y franja pequeña

en la mitad izquierda de la imagen.",6
144,144,DATASET/A1/c1/r1/images/e2/c1r1e2n45.tif,1,1,2,45,"Franja grande en la mitad derecha de la imagen y franja pequeña

en la mitad izquierda de la imagen.",6
145,145,DATASET/A1/c1/r1/images/e2/c1r1e2n46.tif,1,1,2,46,Gran mancha redonda en el borde inferior de la imagen.,4
146,146,DATASET/A1/c1/r1/images/e2/c1r1e2n47.tif,1,1,2,47,Pequeña mancha redonda en el borde inferior de la imagen.,4
147,147,DATASET/A1/c1/r1/images/e2/c1r1e2n48.tif,1,1,2,48,Franja grande en diagonal a lo largo de la imagen.,6
148,148,DATASET/A1/c1/r1/images/e2/c1r1e2n49.tif,1,1,2,49,Franja grande en diagonal a lo largo de la imagen.,6
149,149,DATASET/A1/c1/r1/images/e2/c1r1e2n50.tif,1,1,2,50,Rayas más pequeñas en el centro de la imagen.,3
150,150,DATASET/A1/c1/r1/images/e3/c1r1e3n1.tif,1,1,3,1,Defecto de hilo en la parte superior de la imagen.,3
151,151,DATASET/A1/c1/r1/images/e3/c1r1e3n2.tif,1,1,3,2,Defecto de hilo en el centro de la imagen.,3
152,152,DATASET/A1/c1/r1/images/e3/c1r1e3n3.tif,1,1,3,3,Defecto de hilo en el centro de la imagen.,3
153,153,DATASET/A1/c1/r1/images/e3/c1r1e3n4.tif,1,1,3,4,Defecto de hilo en la mitad inferior de la imagen.,3
154,154,DATASET/A1/c1/r1/images/e3/c1r1e3n5.tif,1,1,3,5,Defecto de hilo en el centro de la imagen.,3
155,155,DATASET/A1/c1/r1/images/e3/c1r1e3n6.tif,1,1,3,6,Fallo de hilo en la esquina inferior derecha de la imagen.,3
156,156,DATASET/A1/c1/r1/images/e3/c1r1e3n7.tif,1,1,3,7,Defecto de hilo en el borde derecho de la imagen.,3
157,157,DATASET/A1/c1/r1/images/e3/c1r1e3n8.tif,1,1,3,8,Defecto de hilo en el centro de la imagen.,3
158,158,DATASET/A1/c1/r1/images/e3/c1r1e3n9.tif,1,1,3,9,Defecto de hilo en el centro de la imagen.,3
159,159,DATASET/A1/c1/r1/images/e3/c1r1e3n10.tif,1,1,3,10,Defecto de hilo en el borde izquierdo de la imagen.,3
160,160,DATASET/A1/c1/r1/images/e3/c1r1e3n11.tif,1,1,3,11,Gran defecto de hilo en la mitad superior de la imagen.,3
161,161,DATASET/A1/c1/r1/images/e3/c1r1e3n12.tif,1,1,3,12,Gran defecto de hilo en el centro de la imagen.,3
162,162,DATASET/A1/c1/r1/images/e3/c1r1e3n13.tif,1,1,3,13,Gran defecto de hilo en el centro de la imagen.,3
163,163,DATASET/A1/c1/r1/images/e3/c1r1e3n14.tif,1,1,3,14,Defecto de hilo en el borde izquierdo de la imagen.,3
164,164,DATASET/A1/c1/r1/images/e3/c1r1e3n15.tif,1,1,3,15,Defecto de hilo en la mitad inferior de la imagen.,3
165,165,DATASET/A1/c1/r1/images/e3/c1r1e3n16.tif,1,1,3,16,Defecto de hilo en la mitad inferior de la imagen.,3
166,166,DATASET/A1/c1/r1/images/e3/c1r1e3n17.tif,1,1,3,17,Defecto de hilo en la mitad inferior de la imagen.,3
167,167,DATASET/A1/c1/r1/images/e3/c1r1e3n18.tif,1,1,3,18,Pequeño defecto de hilo en el borde inferior de la imagen.,3
168,168,DATASET/A1/c1/r1/images/e3/c1r1e3n19.tif,1,1,3,19,Fallo de hilo en la mitad izquierda de la imagen,3
169,169,DATASET/A1/c1/r1/images/e3/c1r1e3n20.tif,1,1,3,20,Defecto de hilo en la mitad inferior de la imagen.,3
170,170,DATASET/A1/c1/r1/images/e3/c1r1e3n21.tif,1,1,3,21,Gran defecto de hilo en el centro de la imagen.,3
171,171,DATASET/A1/c1/r1/images/e3/c1r1e3n22.tif,1,1,3,22,Defecto de hilo en la mitad inferior de la imagen.,3
172,172,DATASET/A1/c1/r1/images/e3/c1r1e3n23.tif,1,1,3,23,Pequeño defecto de hilo en la mitad izquierda de la imagen.,3
173,173,DATASET/A1/c1/r1/images/e3/c1r1e3n24.tif,1,1,3,24,Pequeño defecto de hilo en la mitad izquierda de la imagen.,3
174,174,DATASET/A1/c1/r1/images/e3/c1r1e3n25.tif,1,1,3,25,Pequeño defecto de hilo en la esquina inferior izquierda de la imagen.,3
175,175,DATASET/A1/c1/r1/images/e3/c1r1e3n26.tif,1,1,3,26,Enhebre fallas en la parte superior e inferior de la imagen.,3
176,176,DATASET/A1/c1/r1/images/e3/c1r1e3n27.tif,1,1,3,27,Gran defecto de hilo en el centro de la imagen.,3
177,177,DATASET/A1/c1/r1/images/e3/c1r1e3n28.tif,1,1,3,28,Gran defecto de hilo en la mitad superior de la imagen.,3
178,178,DATASET/A1/c1/r1/images/e3/c1r1e3n29.tif,1,1,3,29,Enhebre fallas en la parte superior e inferior de la imagen.,3
179,179,DATASET/A1/c1/r1/images/e3/c1r1e3n30.tif,1,1,3,30,Defecto de hilo en el borde izquierdo de la imagen.,3
180,180,DATASET/A1/c1/r1/images/e3/c1r1e3n31.tif,1,1,3,31,Defecto de hilo en el borde izquierdo de la imagen.,3
181,181,DATASET/A1/c1/r1/images/e3/c1r1e3n32.tif,1,1,3,32,Fallo de hilo en la esquina inferior derecha de la imagen.,3
182,182,DATASET/A1/c1/r1/images/e3/c1r1e3n33.tif,1,1,3,33,Defectos de hilo en los bordes izquierdo y derecho de la imagen.,3
183,183,DATASET/A1/c1/r1/images/e3/c1r1e3n34.tif,1,1,3,34,Tres defectos en los bordes de la imagen.,3
184,184,DATASET/A1/c1/r1/images/e3/c1r1e3n35.tif,1,1,3,35,Tres defectos en los bordes de la imagen.,3
185,185,DATASET/A1/c1/r1/images/e3/c1r1e3n36.tif,1,1,3,36,"Un defecto de hilo extenso en el centro de la imagen y uno pequeño.

Defectos de hilo en el borde de la imagen.",3
186,186,DATASET/A1/c1/r1/images/e3/c1r1e3n37.tif,1,1,3,37,"Un defecto de hilo extenso en el centro de la imagen y uno pequeño.

Defectos de hilo en el borde de la imagen.",3
187,187,DATASET/A1/c1/r1/images/e3/c1r1e3n38.tif,1,1,3,38,Defecto de hilo en la mitad inferior de la imagen.,3
188,188,DATASET/A1/c1/r1/images/e3/c1r1e3n39.tif,1,1,3,39,Defectos de hilo en los bordes izquierdo y derecho de la imagen.,3
189,189,DATASET/A1/c1/r1/images/e3/c1r1e3n40.tif,1,1,3,40,Gran defecto de hilo en el centro de la imagen.,3
190,190,DATASET/A1/c1/r1/images/e3/c1r1e3n41.tif,1,1,3,41,"Un defecto de hilo extenso en diagonal a través de la imagen.
",3
191,191,DATASET/A1/c1/r1/images/e3/c1r1e3n42.tif,1,1,3,42,Tres defectos en los bordes de la imagen.,3
192,192,DATASET/A1/c1/r1/images/e3/c1r1e3n43.tif,1,1,3,43,Gran defecto de hilo en el centro de la imagen.,3
193,193,DATASET/A1/c1/r1/images/e3/c1r1e3n44.tif,1,1,3,44,Tres defectos en los bordes de la imagen.,3
194,194,DATASET/A1/c1/r1/images/e3/c1r1e3n45.tif,1,1,3,45,Defecto de hilo en la mitad inferior de la imagen.,3
195,195,DATASET/A1/c1/r1/images/e3/c1r1e3n46.tif,1,1,3,46,"Dos defectos de hilo en la esquina inferior izquierda de la imagen.
",3
196,196,DATASET/A1/c1/r1/images/e3/c1r1e3n47.tif,1,1,3,47,Defecto de hilo en la mitad inferior de la imagen.,3
197,197,DATASET/A1/c1/r1/images/e3/c1r1e3n48.tif,1,1,3,48,Pequeño defecto de hilo en la esquina inferior izquierda de la imagen.,3
198,198,DATASET/A1/c1/r1/images/e3/c1r1e3n49.tif,1,1,3,49,Defecto de hilo en la mitad inferior de la imagen.,3
199,199,DATASET/A1/c1/r1/images/e3/c1r1e3n50.tif,1,1,3,50,Tres defectos en los bordes de la imagen.,3
200,200,DATASET/A1/c1/r1/images/e4/c1r1e4n1.tif,1,1,4,1,Hilo oscuro en la tela en diagonal a través de la imagen.,7
201,201,DATASET/A1/c1/r1/images/e4/c1r1e4n2.tif,1,1,4,2,Hilo oscuro en la tela en el borde izquierdo de la imagen.,7
202,202,DATASET/A1/c1/r1/images/e4/c1r1e4n3.tif,1,1,4,3,Hilo oscuro en la tela en la esquina superior derecha de la imagen.,7
203,203,DATASET/A1/c1/r1/images/e4/c1r1e4n4.tif,1,1,4,4,Hilo oscuro en la tela en la esquina superior derecha de la imagen.,7
204,204,DATASET/A1/c1/r1/images/e4/c1r1e4n5.tif,1,1,4,5,Hilo oscuro en la tela en la esquina superior izquierda de la imagen.,7
205,205,DATASET/A1/c1/r1/images/e4/c1r1e4n6.tif,1,1,4,6,Hilo oscuro en la tela en el borde derecho de la imagen.,7
206,206,DATASET/A1/c1/r1/images/e4/c1r1e4n7.tif,1,1,4,7,Hilo oscuro en la tela en la esquina superior derecha de la imagen.,7
207,207,DATASET/A1/c1/r1/images/e4/c1r1e4n8.tif,1,1,4,8,Hilo oscuro en la tela en la esquina superior derecha de la imagen.,7
208,208,DATASET/A1/c1/r1/images/e4/c1r1e4n9.tif,1,1,4,9,Hilo oscuro en la tela en la parte superior de la imagen.,7
209,209,DATASET/A1/c1/r1/images/e4/c1r1e4n10.tif,1,1,4,10,Hilo oscuro en la tela en la parte superior de la imagen.,7
210,210,DATASET/A1/c1/r1/images/e4/c1r1e4n11.tif,1,1,4,11,Hilo oscuro en la tela en la esquina superior derecha de la imagen.,7
211,211,DATASET/A1/c1/r1/images/e4/c1r1e4n12.tif,1,1,4,12,Enhebre la tela en diagonal a través de la imagen.,7
212,212,DATASET/A1/c1/r1/images/e4/c1r1e4n13.tif,1,1,4,13,Hilo ligero en la tela en la esquina superior derecha de la imagen.,7
213,213,DATASET/A1/c1/r1/images/e4/c1r1e4n14.tif,1,1,4,14,Enhebre la tela en diagonal a través de la imagen.,7
214,214,DATASET/A1/c1/r1/images/e4/c1r1e4n15.tif,1,1,4,15,Enhebre la tela en diagonal a través de la imagen.,7
