,image_path,Taca oli,Carrera,Agujero,Hilo fino horizontal2,Tensión horizontal,Barrado,Borrissol,Hilo fino horizontal,Punto escapado
130,5015c882-frame0-00-19.65.jpg,0,0,0,0,0,0,0,0,0
133,461749d2-frame0-00-02.36.jpg,0,0,0,0,0,0,0,1,0
134,7eac0cc5-frame0-00-12.58.jpg,0,0,0,0,0,0,0,0,0
135,60412bff-frame0-00-01.68.jpg,0,0,0,0,0,0,0,0,0
138,42a9ca14-frame0-00-16.90.jpg,0,0,0,0,0,0,0,0,0
139,4afc7f22-frame0-00-22.28.jpg,0,0,0,0,0,0,0,0,0
140,8986cd69-frame0-00-06.91.jpg,0,0,0,1,0,0,0,0,0
143,1968843d-frame0-00-28.12.jpg,0,0,0,0,0,0,0,0,0
145,7294d4a7-frame0-00-00.75.jpg,0,0,0,0,0,0,0,0,0
146,8c9bd235-frame0-00-10.27.jpg,0,0,0,0,0,0,0,1,0
149,8df2bfb7-frame0-00-03.42.jpg,0,0,0,0,0,0,0,1,0
150,6c497770-frame0-00-21.07.jpg,0,0,0,0,0,0,0,1,0
153,00d1fc0b-frame0-00-14.38.jpg,0,0,0,0,0,0,0,1,0
154,24c9553c-frame0-00-42.25.jpg,0,0,0,0,0,0,0,0,0
155,7e856b63-frame0-00-16.20.jpg,0,0,0,0,0,0,0,0,0
158,626f0ff5-frame0-00-18.100.jpg,0,0,0,0,0,0,0,0,0
160,20882208-frame0-00-05.91.jpg,0,0,0,0,0,0,0,0,0
161,56d063bf-frame0-00-25.41.jpg,0,0,0,1,0,0,0,0,0
162,0a28555c-frame0-00-06.48.jpg,0,0,0,0,0,0,0,1,0
163,29cdd467-frame0-00-06.85.jpg,0,0,0,1,0,0,0,0,0
164,7fd034f9-frame0-00-09.89.jpg,0,0,0,0,0,0,0,0,0
165,10ed371d-frame0-00-24.28.jpg,0,1,0,1,0,0,0,0,0
169,4e61b0c8-frame0-00-02.00.jpg,0,0,0,0,0,0,0,0,0
170,019df0fc-frame0-00-21.88.jpg,0,0,0,0,0,0,0,0,0
171,7f28cc48-frame0-00-21.46.jpg,0,0,0,0,0,0,0,0,0
175,0a64cb32-frame0-00-10.43.jpg,0,0,0,0,0,0,0,1,0
178,337088a5-frame0-00-42.43.jpg,0,0,0,0,0,0,0,0,0
181,52d740d9-frame0-00-21.22.jpg,0,0,0,0,0,0,0,0,0
182,48557534-frame0-00-03.72.jpg,0,0,0,0,0,0,0,0,0
185,408cdd0a-frame0-00-19.46.jpg,0,0,0,0,0,0,0,0,0
186,39a17aee-frame0-00-05.11.jpg,0,0,0,1,0,0,1,0,0
192,171ff275-frame0-00-28.35.jpg,0,0,0,0,0,0,0,0,0
193,6e7edb06-frame0-00-12.66.jpg,0,0,0,0,0,0,0,0,0
194,1e13f070-frame0-00-08.06.jpg,0,0,0,0,0,0,0,0,0
195,033c79dd-frame0-00-10.09.jpg,0,0,0,0,0,0,0,0,0
196,3d20fafc-frame0-00-10.29.jpg,0,0,0,0,0,0,0,1,0
197,2a74d99e-frame0-00-11.96.jpg,0,0,0,1,0,0,0,0,0
199,1a07edef-frame0-00-27.92.jpg,0,0,0,0,0,0,0,0,0
201,89ed57ae-frame0-00-37.55.jpg,0,0,0,0,0,0,0,0,0
202,4f26758d-frame0-00-32.35.jpg,0,0,0,0,0,0,0,0,0
203,405a3a9b-frame0-00-00.79.jpg,0,0,0,0,0,0,0,1,0
205,584423d9-frame0-00-11.85.jpg,0,0,0,0,0,0,0,0,0
207,0017291d-frame0-00-14.25.jpg,0,0,0,0,0,0,0,0,1
209,390bed8c-frame0-00-03.06.jpg,0,0,0,0,0,0,0,1,0
210,27c08d5f-frame0-00-36.13.jpg,0,0,0,0,0,0,0,0,0
211,089f98f2-frame0-00-25.92.jpg,0,0,0,1,0,0,0,0,0
212,4c7506d3-frame0-00-01.59.jpg,0,0,0,0,0,0,0,1,0
215,7a0f9517-frame0-00-07.27.jpg,0,0,0,0,0,0,0,0,0
216,86d2d1a2-frame0-00-04.16.jpg,0,0,0,0,0,0,0,1,0
217,1764150e-frame0-00-13.20.jpg,0,0,0,0,0,0,0,0,0
218,86e4775e-frame0-00-02.42.jpg,0,0,0,0,0,0,0,0,0
220,4606f280-frame0-00-03.65.jpg,0,0,0,0,0,0,0,1,0
222,8a12a5d4-frame0-00-35.34.jpg,0,0,0,0,0,0,0,0,0
223,8bc57ca0-frame0-00-01.54.jpg,0,0,0,0,0,0,0,1,0
224,84fdbcbe-frame0-00-02.28.jpg,0,0,0,0,0,0,0,1,0
226,6cb7fece-frame0-00-09.62.jpg,0,0,0,0,0,0,0,1,0
232,0b0ca843-frame0-00-11.35.jpg,0,0,0,1,0,0,0,0,0
233,77dd1f58-frame0-00-20.25.jpg,0,0,0,0,0,0,0,0,0
235,33634338-frame0-00-37.57.jpg,0,0,0,0,0,0,0,0,0
237,5c87a5d0-frame0-00-25.15.jpg,0,0,0,0,0,0,0,0,0
239,0671f464-frame0-00-05.60.jpg,0,0,0,0,0,0,0,0,0
240,0e9ecc3c-frame0-00-11.58.jpg,0,0,0,0,0,0,0,1,0
242,740b896b-frame0-00-40.28.jpg,0,0,0,0,0,0,0,0,0
246,6d14e7d4-frame0-00-22.18.jpg,0,0,0,0,0,0,0,0,0
247,821bad11-frame0-00-07.04.jpg,0,0,0,0,0,0,0,1,0
248,67b92009-frame0-00-05.44.jpg,0,0,0,0,0,0,0,0,0
251,59437b5e-frame0-00-01.65.jpg,0,0,0,0,0,0,0,1,0
252,7fe2ab4c-frame0-00-18.80.jpg,0,0,0,0,0,0,0,0,0
253,52c861f8-frame0-00-09.71.jpg,0,0,0,0,0,0,0,0,0
254,3dde0d7c-frame0-00-43.78.jpg,0,0,0,0,0,0,0,0,0
256,80a2e8c3-frame0-00-21.72.jpg,0,0,0,0,0,0,0,0,0
258,0a5d3b34-frame0-00-40.51.jpg,0,0,0,0,0,0,0,0,0
259,416e6217-frame0-00-13.94.jpg,0,0,0,0,0,0,0,0,1
265,4801c1c4-frame0-00-08.39.jpg,0,0,0,0,0,0,0,1,0
266,6d9e3017-frame0-00-12.37.jpg,0,0,0,0,0,0,0,1,0
269,4aaa6c01-frame0-00-26.64.jpg,0,0,0,0,0,0,0,0,0
272,3626ae1c-frame0-00-04.54.jpg,0,0,0,0,0,0,0,1,0
274,6879ff81-frame0-00-21.16.jpg,0,0,0,0,0,0,0,0,0
275,1f3e0732-frame0-00-19.39.jpg,0,0,0,1,0,0,0,0,0
278,530766fc-frame0-00-08.76.jpg,0,0,0,0,0,0,0,1,0
279,430e3f72-frame0-00-25.30.jpg,0,0,0,1,0,0,0,0,0
280,05d29444-frame0-00-43.88.jpg,0,0,0,0,0,0,0,0,0
281,1cb53273-frame0-00-41.92.jpg,0,0,0,0,0,0,0,0,0
282,58cdfce2-frame0-00-10.67.jpg,0,0,0,0,0,0,0,0,0
284,74a77563-frame0-00-08.94.jpg,0,0,0,0,0,0,0,0,0
285,8d0d4d37-frame0-00-11.56.jpg,0,0,0,0,0,0,0,0,0
286,76a31d0e-frame0-00-19.59.jpg,0,0,0,0,0,0,0,0,0
287,4dafe209-frame0-00-15.41.jpg,0,0,0,0,0,0,0,1,0
291,2879c030-frame0-00-10.44.jpg,0,0,0,0,0,0,0,0,0
292,5c2e5224-frame0-00-06.10.jpg,0,0,0,0,0,0,0,0,0
293,42d724d5-frame0-00-10.89.jpg,0,0,0,0,0,0,0,1,0
294,24ce2abe-frame0-00-11.06.jpg,0,0,0,0,0,0,0,0,0
296,5652c14f-frame0-00-20.70.jpg,0,0,0,1,0,0,0,0,0
297,581d8f0e-frame0-00-00.75.jpg,0,0,0,0,0,0,0,0,0
299,7da19ec3-frame0-00-12.34.jpg,0,0,0,0,0,0,0,1,0
301,31dbe3c3-frame0-00-38.60.jpg,0,0,0,0,0,0,0,0,0
302,15eab015-frame0-00-03.42.jpg,0,0,0,0,0,0,0,1,0
303,5c527716-frame0-00-09.98.jpg,0,0,0,1,0,0,0,0,0
304,7188a218-frame0-00-07.25.jpg,0,0,0,0,0,0,0,1,0
305,701adb2f-frame0-00-31.51.jpg,0,0,0,0,0,0,0,0,0
307,8b1b8e2d-frame0-00-44.05.jpg,0,0,0,0,0,0,0,0,0
308,07d6f9b6-frame0-00-29.92.jpg,0,0,0,1,0,0,0,0,0
309,07139e02-frame0-00-08.77.jpg,0,0,0,0,0,0,0,1,0
310,75883895-frame0-00-19.56.jpg,0,0,0,0,0,0,0,1,0
311,48cca850-frame0-00-11.27.jpg,0,0,0,0,0,0,0,1,0
314,4fe48944-frame0-00-08.41.jpg,0,0,0,0,0,0,0,0,0
321,638d6007-frame0-00-02.49.jpg,0,0,0,0,0,0,0,1,0
323,76925305-frame0-00-03.63.jpg,0,0,0,0,0,0,0,0,0
324,2de81919-frame0-00-19.14.jpg,0,0,0,0,0,0,0,0,0
325,2adf4ccd-frame0-00-26.42.jpg,0,0,0,0,0,0,0,0,0
326,1d557eae-frame0-00-28.84.jpg,0,0,0,0,0,0,0,0,0
327,7f8e2fa2-frame0-00-15.100.jpg,0,0,0,0,0,0,0,1,0
328,69795444-frame0-00-18.35.jpg,0,0,0,0,0,0,0,0,0
330,7fc1ac6a-frame0-00-03.74.jpg,0,0,0,0,0,0,0,1,0
331,2c5ca076-frame0-00-25.69.jpg,0,0,0,0,0,0,0,0,0
332,56c2fcae-frame0-00-11.82.jpg,0,0,0,0,0,0,0,0,0
334,7e8c841f-frame0-00-18.72.jpg,0,0,0,0,0,0,0,0,0
335,54748264-frame0-00-14.83.jpg,0,0,0,1,0,0,0,0,0
339,05d70467-frame0-00-07.81.jpg,0,0,0,1,0,0,0,0,0
341,26b5e49f-frame0-00-22.19.jpg,0,0,0,1,0,0,0,0,0
343,45b5d6c3-frame0-00-00.66.jpg,0,0,0,0,0,0,0,1,0
349,2979631d-frame0-00-23.63.jpg,0,0,0,0,0,0,0,0,0
350,13e93337-frame0-00-01.25.jpg,0,0,0,0,0,0,0,0,0
351,7a1799f7-frame0-00-17.85.jpg,0,0,0,0,0,0,0,1,0
353,6a9fb27a-frame0-00-16.58.jpg,0,0,0,0,0,0,0,1,0
354,861a673e-frame0-00-31.80.jpg,0,0,0,0,0,0,0,0,0
357,82f3ea4a-frame0-00-24.29.jpg,0,0,0,0,0,0,0,0,0
360,55ed18ab-frame0-00-06.09.jpg,0,0,1,0,0,0,0,0,0
364,6a99af53-frame0-00-22.78.jpg,0,0,0,0,0,0,0,0,0
366,1d8d6b48-frame0-00-04.02.jpg,0,0,0,0,0,0,0,0,0
368,17436815-frame0-00-37.40.jpg,0,0,0,0,0,0,0,0,0
369,4311b85e-frame0-00-25.47.jpg,0,0,0,0,0,0,0,0,0
371,05009204-frame0-00-08.92.jpg,0,0,0,0,0,0,0,0,0
374,495f797f-frame0-00-03.11.jpg,0,0,0,0,0,0,0,0,0
375,8458969e-frame0-00-17.28.jpg,0,0,0,0,0,0,0,0,0
377,64815605-frame0-00-23.93.jpg,0,0,0,0,0,0,0,0,0
382,30feae48-frame0-00-19.09.jpg,0,0,0,1,0,0,0,0,0
385,37496ba2-frame0-00-18.67.jpg,0,0,0,0,0,0,0,0,0
386,869f2342-frame0-00-19.60.jpg,0,0,0,0,0,0,0,1,0
392,83a822f6-frame0-00-27.41.jpg,0,0,0,1,0,0,0,0,0
397,4d2996fd-frame0-00-26.69.jpg,0,0,0,0,0,0,0,0,0
400,50c6844e-frame0-00-00.43.jpg,0,0,0,0,0,0,0,1,0
401,172c4d92-frame0-00-22.33.jpg,0,0,0,1,0,0,0,0,0
402,5138eb40-frame0-00-35.05.jpg,0,0,0,0,0,0,0,0,0
405,441e5ddf-frame0-00-06.49.jpg,0,0,0,0,0,0,0,1,0
409,1fc57597-frame0-00-07.10.jpg,0,0,0,0,0,0,0,1,0
410,43a10b87-frame0-00-10.81.jpg,0,0,0,0,0,0,0,0,0
413,1456438f-frame0-00-04.93.jpg,0,0,0,0,0,0,0,0,0
414,8590d4f9-frame0-00-40.32.jpg,0,0,0,0,0,0,0,0,0
418,65ac49e1-frame0-00-40.96.jpg,0,0,0,0,0,0,0,0,0
419,7945748d-frame0-00-21.42.jpg,0,0,0,0,0,0,0,0,0
420,601ecfe6-frame0-00-17.00.jpg,0,0,0,1,0,0,0,0,0
424,07738546-frame0-00-02.86.jpg,0,0,0,0,0,0,0,1,0
425,4f50e6b6-frame0-00-26.69.jpg,0,0,0,0,0,0,0,0,0
426,0e107b85-frame0-00-16.14.jpg,0,0,0,0,0,0,0,0,0
427,869cebc8-frame0-00-02.99.jpg,0,0,0,0,0,0,0,0,0
428,41a815a8-frame0-00-09.49.jpg,0,0,0,0,0,0,0,0,0
429,17998b6a-frame0-00-26.33.jpg,0,0,0,1,0,0,0,0,0
430,29232c5a-frame0-00-00.02.jpg,0,0,0,0,0,0,0,1,0
432,0b697087-frame0-00-05.59.jpg,0,0,0,0,0,0,0,1,0
433,3125a963-frame0-00-15.86.jpg,0,0,0,0,0,0,0,1,0
434,83812cb7-frame0-00-07.44.jpg,0,0,0,0,0,0,0,0,0
435,77395b62-frame0-00-16.22.jpg,0,0,0,0,0,0,0,0,0
436,2cb98b25-frame0-00-30.22.jpg,0,0,0,0,0,0,0,0,0
437,1ecf5526-frame0-00-24.52.jpg,0,0,0,0,0,0,0,0,0
438,2f0b9e09-frame0-00-12.58.jpg,0,0,0,0,0,0,0,1,0
441,0a3a3010-frame0-00-09.11.jpg,0,0,0,0,0,0,0,0,0
442,1298c2ca-frame0-00-11.19.jpg,0,0,0,0,0,0,0,1,0
443,06fa90de-frame0-00-02.69.jpg,0,0,0,0,0,0,0,1,0
445,5550aebd-frame0-00-07.05.jpg,0,0,0,0,0,0,0,1,0
446,0b052c84-frame0-00-17.00.jpg,0,0,0,0,0,0,0,0,0
447,14918a7d-frame0-00-03.74.jpg,0,0,0,0,0,0,0,1,0
448,2f88e6e9-frame0-00-17.66.jpg,0,0,0,1,0,0,0,0,0
450,2ebe0d2e-frame0-00-08.25.jpg,0,0,0,0,0,0,0,1,0
451,682f5371-frame0-00-25.93.jpg,0,0,0,1,0,0,0,0,0
452,24e85db9-frame0-00-07.68.jpg,0,0,0,0,0,0,0,0,0
454,3aa3d01e-frame0-00-29.81.jpg,0,0,0,0,0,0,0,0,0
455,86500279-frame0-00-12.35.jpg,0,0,0,0,0,0,0,0,0
456,1c54dd52-frame0-00-06.68.jpg,0,0,0,0,0,0,0,1,0
459,340e3b2e-frame0-00-04.97.jpg,0,0,0,0,0,0,0,0,0
461,5662d32b-frame0-00-22.53.jpg,0,0,0,0,0,0,0,0,0
462,0cdedf35-frame0-00-33.91.jpg,0,0,0,0,0,0,0,0,0
463,05cb438c-frame0-00-28.09.jpg,0,0,0,0,0,0,0,0,0
465,10ead250-frame0-00-06.45.jpg,0,0,0,0,0,0,0,0,0
467,1ef73acc-frame0-00-25.75.jpg,0,0,0,1,0,0,0,0,0
468,04220a43-frame0-00-09.20.jpg,0,0,0,0,0,0,0,0,0
470,7ccea434-frame0-00-14.11.jpg,0,0,0,0,0,0,0,1,0
472,3ff4d990-frame0-00-13.18.jpg,0,0,0,0,0,0,0,0,0
473,189a7358-frame0-00-09.24.jpg,0,0,0,0,0,0,0,1,0
475,2950ae69-frame0-00-15.83.jpg,0,0,0,0,0,0,0,1,0
477,67cbd419-frame0-00-10.09.jpg,0,0,0,0,0,0,0,1,0
478,3d009b2f-frame0-00-22.49.jpg,0,0,0,0,0,0,0,0,0
479,678c0a96-frame0-00-08.38.jpg,0,0,0,0,0,0,0,0,0
482,2a1d9622-frame0-00-22.82.jpg,0,0,0,0,0,0,0,0,0
483,49656be4-frame0-00-06.50.jpg,0,0,0,0,0,0,0,1,0
486,3995ef75-frame0-00-08.68.jpg,0,0,0,1,0,0,0,0,0
487,8a5b46d5-frame0-00-16.15.jpg,0,0,0,0,0,0,0,0,0
488,5a7a23ba-frame0-00-18.91.jpg,0,0,0,0,0,0,0,0,0
490,59b89a9b-frame0-00-21.73.jpg,0,0,0,1,0,0,0,0,0
491,38d1b11f-frame0-00-23.38.jpg,0,0,0,0,0,0,0,1,0
494,6d3c7376-frame0-00-10.05.jpg,0,0,0,0,0,0,0,1,0
495,0360f3f2-frame0-00-19.95.jpg,0,0,0,0,0,0,0,0,0
497,3623a9e4-frame0-00-02.89.jpg,0,0,0,0,0,0,0,0,0
499,726275e0-frame0-00-18.95.jpg,0,0,0,0,0,0,0,0,0
500,648ddba7-frame0-00-11.20.jpg,0,0,0,0,0,0,0,0,0
501,077422f0-frame0-00-05.39.jpg,0,0,0,0,0,0,0,0,0
502,431e686e-frame0-00-22.47.jpg,0,0,0,0,0,0,0,0,0
503,1946da0a-frame0-00-12.03.jpg,0,0,0,0,0,0,0,0,0
504,2db86a27-frame0-00-04.53.jpg,0,0,0,0,0,0,0,1,0
507,5c57951a-frame0-00-05.70.jpg,0,0,0,0,0,0,0,0,0
511,76c121cd-frame0-00-26.09.jpg,0,0,0,0,0,0,0,0,0
512,378c029b-frame0-00-05.69.jpg,0,0,1,0,0,0,0,1,0
514,4ff8df7a-frame0-00-23.15.jpg,0,0,0,0,0,0,0,0,0
517,66aa9371-frame0-00-12.63.jpg,0,0,0,0,0,0,0,1,0
518,810d8e06-frame0-00-01.70.jpg,0,0,0,0,0,0,0,0,0
521,29399f8c-frame0-00-23.54.jpg,0,0,0,0,0,0,1,0,0
522,2e7d7f83-frame0-00-31.89.jpg,0,0,0,0,0,0,0,0,0
524,3957c183-frame0-00-06.73.jpg,0,0,0,0,0,0,0,1,0
526,6e812879-frame0-00-01.48.jpg,0,0,0,0,0,0,0,0,0
527,60f29043-frame0-00-27.95.jpg,0,0,0,0,0,0,0,0,0
528,8a6cc504-frame0-00-11.70.jpg,0,0,0,0,0,0,0,1,0
530,3b11dd23-frame0-00-17.32.jpg,0,1,0,1,0,0,0,0,0
531,4234f196-frame0-00-35.02.jpg,0,0,0,0,0,0,0,0,0
532,2ca665b5-frame0-00-15.86.jpg,0,0,0,0,0,0,0,1,0
534,114eb0cc-frame0-00-02.66.jpg,0,0,0,0,0,0,0,1,0
538,006372d5-frame0-00-14.64.jpg,0,0,0,0,0,0,0,1,0
541,4c3f9e78-frame0-00-06.15.jpg,0,0,0,0,0,0,0,0,0
542,4a32aa6e-frame0-00-26.97.jpg,0,0,0,0,0,0,0,0,0
545,51b1d015-frame0-00-30.62.jpg,0,0,0,0,0,0,0,0,0
546,0f880bb4-frame0-00-37.20.jpg,0,0,0,0,0,0,0,0,0
547,29f46165-frame0-00-32.85.jpg,0,0,0,0,0,0,0,0,0
549,38374781-frame0-00-21.89.jpg,0,0,0,0,0,0,0,0,0
550,7b7ba469-frame0-00-10.61.jpg,0,0,0,0,0,0,0,1,0
553,35d801f7-frame0-00-03.32.jpg,0,0,0,0,0,0,0,1,0
555,76f4e521-frame0-00-03.74.jpg,0,0,0,0,0,0,0,0,0
559,1690b352-frame0-00-12.55.jpg,0,0,0,0,0,0,0,0,0
560,61b18ee8-frame0-00-24.96.jpg,0,0,0,1,0,0,0,0,0
562,6f3d7db6-frame0-00-12.27.jpg,0,0,0,0,0,0,0,0,0
564,725ae44a-frame0-00-01.96.jpg,0,0,0,0,0,0,0,1,0
566,01d4803d-frame0-00-12.97.jpg,0,0,0,0,0,0,0,0,0
571,790cbaef-frame0-00-06.58.jpg,0,0,0,0,0,0,0,0,0
576,4f187b36-frame0-00-19.23.jpg,0,0,0,1,0,0,0,0,0
577,4721c526-frame0-00-43.09.jpg,0,0,0,0,0,0,0,0,0
578,57e902b9-frame0-00-19.75.jpg,0,0,0,0,0,0,0,0,0
580,63cf7fad-frame0-00-30.15.jpg,0,0,0,0,0,0,0,0,0
584,13ec47a3-frame0-00-07.33.jpg,0,0,0,0,0,0,0,0,0
586,215c0df5-frame0-00-04.16.jpg,0,0,0,0,0,0,0,0,0
587,1b3c18e5-frame0-00-15.98.jpg,0,0,0,0,0,0,0,1,0
588,1f4e88c1-frame0-00-08.69.jpg,0,0,0,0,0,0,0,0,0
590,38a0dcc2-frame0-00-00.66.jpg,0,0,0,0,0,0,0,0,0
591,21dbc7fb-frame0-00-00.63.jpg,0,0,0,0,0,0,0,0,0
592,7132c4bd-frame0-00-20.23.jpg,0,0,0,0,0,0,0,0,0
594,514050dd-frame0-00-07.31.jpg,0,0,0,0,0,0,0,1,0
595,65c34af5-frame0-00-08.90.jpg,0,0,0,0,0,0,0,1,0
597,7fbabdd3-frame0-00-21.59.jpg,0,0,0,1,0,0,0,0,0
599,80f02bd5-frame0-00-15.77.jpg,0,0,0,0,0,0,0,0,0
600,543a2ab8-frame0-00-15.95.jpg,0,0,0,0,0,0,0,1,0
603,4f256b53-frame0-00-43.38.jpg,0,0,0,0,0,0,0,0,0
604,6e757dd9-frame0-00-28.49.jpg,0,0,0,0,0,0,0,0,0
605,6c0ca069-frame0-00-22.98.jpg,0,0,0,0,0,0,0,0,0
606,19894102-frame0-00-40.95.jpg,0,0,0,0,0,0,0,0,0
607,205aa8d3-frame0-00-15.82.jpg,0,0,0,0,0,0,0,0,0
608,0dd9ec79-frame0-00-25.77.jpg,0,0,0,0,0,0,0,0,0
609,0817f50c-frame0-00-12.21.jpg,0,0,0,1,0,0,0,0,0
610,2b019a91-frame0-00-10.83.jpg,0,0,0,0,0,0,0,1,0
612,4c477e03-frame0-00-12.55.jpg,0,0,0,0,0,0,0,1,0
613,0217701f-frame0-00-39.48.jpg,0,0,0,0,0,0,0,0,0
