,paths,c,r,e,n
31,DATASET/A1/c1/r1/images/e0/c1r1e0n32.tif,1,1,0,32
32,DATASET/A1/c1/r1/images/e0/c1r1e0n33.tif,1,1,0,33
33,DATASET/A1/c1/r1/images/e0/c1r1e0n34.tif,1,1,0,34
34,DATASET/A1/c1/r1/images/e0/c1r1e0n35.tif,1,1,0,35
35,DATASET/A1/c1/r1/images/e0/c1r1e0n36.tif,1,1,0,36
36,DATASET/A1/c1/r1/images/e0/c1r1e0n37.tif,1,1,0,37
37,DATASET/A1/c1/r1/images/e0/c1r1e0n38.tif,1,1,0,38
38,DATASET/A1/c1/r1/images/e0/c1r1e0n39.tif,1,1,0,39
39,DATASET/A1/c1/r1/images/e0/c1r1e0n40.tif,1,1,0,40
40,DATASET/A1/c1/r1/images/e0/c1r1e0n41.tif,1,1,0,41
41,DATASET/A1/c1/r1/images/e0/c1r1e0n42.tif,1,1,0,42
42,DATASET/A1/c1/r1/images/e0/c1r1e0n43.tif,1,1,0,43
43,DATASET/A1/c1/r1/images/e0/c1r1e0n44.tif,1,1,0,44
44,DATASET/A1/c1/r1/images/e0/c1r1e0n45.tif,1,1,0,45
45,DATASET/A1/c1/r1/images/e0/c1r1e0n46.tif,1,1,0,46
46,DATASET/A1/c1/r1/images/e0/c1r1e0n47.tif,1,1,0,47
47,DATASET/A1/c1/r1/images/e0/c1r1e0n48.tif,1,1,0,48
48,DATASET/A1/c1/r1/images/e0/c1r1e0n49.tif,1,1,0,49
49,DATASET/A1/c1/r1/images/e0/c1r1e0n50.tif,1,1,0,50
50,DATASET/A1/c1/r1/images/e1/c1r1e1n1.tif,1,1,1,1
51,DATASET/A1/c1/r1/images/e1/c1r1e1n2.tif,1,1,1,2
52,DATASET/A1/c1/r1/images/e1/c1r1e1n3.tif,1,1,1,3
53,DATASET/A1/c1/r1/images/e1/c1r1e1n4.tif,1,1,1,4
54,DATASET/A1/c1/r1/images/e1/c1r1e1n5.tif,1,1,1,5
55,DATASET/A1/c1/r1/images/e1/c1r1e1n6.tif,1,1,1,6
56,DATASET/A1/c1/r1/images/e1/c1r1e1n7.tif,1,1,1,7
57,DATASET/A1/c1/r1/images/e1/c1r1e1n8.tif,1,1,1,8
58,DATASET/A1/c1/r1/images/e1/c1r1e1n9.tif,1,1,1,9
59,DATASET/A1/c1/r1/images/e1/c1r1e1n10.tif,1,1,1,10
60,DATASET/A1/c1/r1/images/e1/c1r1e1n11.tif,1,1,1,11
61,DATASET/A1/c1/r1/images/e1/c1r1e1n12.tif,1,1,1,12
62,DATASET/A1/c1/r1/images/e1/c1r1e1n13.tif,1,1,1,13
63,DATASET/A1/c1/r1/images/e1/c1r1e1n14.tif,1,1,1,14
64,DATASET/A1/c1/r1/images/e1/c1r1e1n15.tif,1,1,1,15
65,DATASET/A1/c1/r1/images/e1/c1r1e1n16.tif,1,1,1,16
66,DATASET/A1/c1/r1/images/e1/c1r1e1n17.tif,1,1,1,17
67,DATASET/A1/c1/r1/images/e1/c1r1e1n18.tif,1,1,1,18
68,DATASET/A1/c1/r1/images/e1/c1r1e1n19.tif,1,1,1,19
69,DATASET/A1/c1/r1/images/e1/c1r1e1n20.tif,1,1,1,20
70,DATASET/A1/c1/r1/images/e1/c1r1e1n21.tif,1,1,1,21
71,DATASET/A1/c1/r1/images/e1/c1r1e1n22.tif,1,1,1,22
72,DATASET/A1/c1/r1/images/e1/c1r1e1n23.tif,1,1,1,23
73,DATASET/A1/c1/r1/images/e1/c1r1e1n24.tif,1,1,1,24
74,DATASET/A1/c1/r1/images/e1/c1r1e1n25.tif,1,1,1,25
75,DATASET/A1/c1/r1/images/e1/c1r1e1n26.tif,1,1,1,26
76,DATASET/A1/c1/r1/images/e1/c1r1e1n27.tif,1,1,1,27
77,DATASET/A1/c1/r1/images/e1/c1r1e1n28.tif,1,1,1,28
78,DATASET/A1/c1/r1/images/e1/c1r1e1n29.tif,1,1,1,29
79,DATASET/A1/c1/r1/images/e1/c1r1e1n30.tif,1,1,1,30
80,DATASET/A1/c1/r1/images/e1/c1r1e1n31.tif,1,1,1,31
81,DATASET/A1/c1/r1/images/e1/c1r1e1n32.tif,1,1,1,32
82,DATASET/A1/c1/r1/images/e1/c1r1e1n33.tif,1,1,1,33
83,DATASET/A1/c1/r1/images/e1/c1r1e1n34.tif,1,1,1,34
84,DATASET/A1/c1/r1/images/e1/c1r1e1n35.tif,1,1,1,35
85,DATASET/A1/c1/r1/images/e1/c1r1e1n36.tif,1,1,1,36
86,DATASET/A1/c1/r1/images/e1/c1r1e1n37.tif,1,1,1,37
87,DATASET/A1/c1/r1/images/e1/c1r1e1n38.tif,1,1,1,38
88,DATASET/A1/c1/r1/images/e1/c1r1e1n39.tif,1,1,1,39
89,DATASET/A1/c1/r1/images/e1/c1r1e1n40.tif,1,1,1,40
90,DATASET/A1/c1/r1/images/e1/c1r1e1n41.tif,1,1,1,41
91,DATASET/A1/c1/r1/images/e1/c1r1e1n42.tif,1,1,1,42
92,DATASET/A1/c1/r1/images/e1/c1r1e1n43.tif,1,1,1,43
93,DATASET/A1/c1/r1/images/e1/c1r1e1n44.tif,1,1,1,44
94,DATASET/A1/c1/r1/images/e1/c1r1e1n45.tif,1,1,1,45
95,DATASET/A1/c1/r1/images/e1/c1r1e1n46.tif,1,1,1,46
96,DATASET/A1/c1/r1/images/e1/c1r1e1n47.tif,1,1,1,47
97,DATASET/A1/c1/r1/images/e1/c1r1e1n48.tif,1,1,1,48
98,DATASET/A1/c1/r1/images/e1/c1r1e1n49.tif,1,1,1,49
99,DATASET/A1/c1/r1/images/e1/c1r1e1n50.tif,1,1,1,50
100,DATASET/A1/c1/r1/images/e2/c1r1e2n1.tif,1,1,2,1
101,DATASET/A1/c1/r1/images/e2/c1r1e2n2.tif,1,1,2,2
102,DATASET/A1/c1/r1/images/e2/c1r1e2n3.tif,1,1,2,3
103,DATASET/A1/c1/r1/images/e2/c1r1e2n4.tif,1,1,2,4
104,DATASET/A1/c1/r1/images/e2/c1r1e2n5.tif,1,1,2,5
105,DATASET/A1/c1/r1/images/e2/c1r1e2n6.tif,1,1,2,6
106,DATASET/A1/c1/r1/images/e2/c1r1e2n7.tif,1,1,2,7
107,DATASET/A1/c1/r1/images/e2/c1r1e2n8.tif,1,1,2,8
108,DATASET/A1/c1/r1/images/e2/c1r1e2n9.tif,1,1,2,9
109,DATASET/A1/c1/r1/images/e2/c1r1e2n10.tif,1,1,2,10
110,DATASET/A1/c1/r1/images/e2/c1r1e2n11.tif,1,1,2,11
111,DATASET/A1/c1/r1/images/e2/c1r1e2n12.tif,1,1,2,12
112,DATASET/A1/c1/r1/images/e2/c1r1e2n13.tif,1,1,2,13
113,DATASET/A1/c1/r1/images/e2/c1r1e2n14.tif,1,1,2,14
114,DATASET/A1/c1/r1/images/e2/c1r1e2n15.tif,1,1,2,15
115,DATASET/A1/c1/r1/images/e2/c1r1e2n16.tif,1,1,2,16
116,DATASET/A1/c1/r1/images/e2/c1r1e2n17.tif,1,1,2,17
117,DATASET/A1/c1/r1/images/e2/c1r1e2n18.tif,1,1,2,18
118,DATASET/A1/c1/r1/images/e2/c1r1e2n19.tif,1,1,2,19
119,DATASET/A1/c1/r1/images/e2/c1r1e2n20.tif,1,1,2,20
120,DATASET/A1/c1/r1/images/e2/c1r1e2n21.tif,1,1,2,21
121,DATASET/A1/c1/r1/images/e2/c1r1e2n22.tif,1,1,2,22
122,DATASET/A1/c1/r1/images/e2/c1r1e2n23.tif,1,1,2,23
123,DATASET/A1/c1/r1/images/e2/c1r1e2n24.tif,1,1,2,24
124,DATASET/A1/c1/r1/images/e2/c1r1e2n25.tif,1,1,2,25
125,DATASET/A1/c1/r1/images/e2/c1r1e2n26.tif,1,1,2,26
126,DATASET/A1/c1/r1/images/e2/c1r1e2n27.tif,1,1,2,27
127,DATASET/A1/c1/r1/images/e2/c1r1e2n28.tif,1,1,2,28
128,DATASET/A1/c1/r1/images/e2/c1r1e2n29.tif,1,1,2,29
129,DATASET/A1/c1/r1/images/e2/c1r1e2n30.tif,1,1,2,30
130,DATASET/A1/c1/r1/images/e2/c1r1e2n31.tif,1,1,2,31
131,DATASET/A1/c1/r1/images/e2/c1r1e2n32.tif,1,1,2,32
132,DATASET/A1/c1/r1/images/e2/c1r1e2n33.tif,1,1,2,33
133,DATASET/A1/c1/r1/images/e2/c1r1e2n34.tif,1,1,2,34
134,DATASET/A1/c1/r1/images/e2/c1r1e2n35.tif,1,1,2,35
135,DATASET/A1/c1/r1/images/e2/c1r1e2n36.tif,1,1,2,36
136,DATASET/A1/c1/r1/images/e2/c1r1e2n37.tif,1,1,2,37
137,DATASET/A1/c1/r1/images/e2/c1r1e2n38.tif,1,1,2,38
138,DATASET/A1/c1/r1/images/e2/c1r1e2n39.tif,1,1,2,39
139,DATASET/A1/c1/r1/images/e2/c1r1e2n40.tif,1,1,2,40
140,DATASET/A1/c1/r1/images/e2/c1r1e2n41.tif,1,1,2,41
141,DATASET/A1/c1/r1/images/e2/c1r1e2n42.tif,1,1,2,42
142,DATASET/A1/c1/r1/images/e2/c1r1e2n43.tif,1,1,2,43
143,DATASET/A1/c1/r1/images/e2/c1r1e2n44.tif,1,1,2,44
144,DATASET/A1/c1/r1/images/e2/c1r1e2n45.tif,1,1,2,45
145,DATASET/A1/c1/r1/images/e2/c1r1e2n46.tif,1,1,2,46
146,DATASET/A1/c1/r1/images/e2/c1r1e2n47.tif,1,1,2,47
147,DATASET/A1/c1/r1/images/e2/c1r1e2n48.tif,1,1,2,48
148,DATASET/A1/c1/r1/images/e2/c1r1e2n49.tif,1,1,2,49
149,DATASET/A1/c1/r1/images/e2/c1r1e2n50.tif,1,1,2,50
150,DATASET/A1/c1/r1/images/e3/c1r1e3n1.tif,1,1,3,1
151,DATASET/A1/c1/r1/images/e3/c1r1e3n2.tif,1,1,3,2
152,DATASET/A1/c1/r1/images/e3/c1r1e3n3.tif,1,1,3,3
153,DATASET/A1/c1/r1/images/e3/c1r1e3n4.tif,1,1,3,4
154,DATASET/A1/c1/r1/images/e3/c1r1e3n5.tif,1,1,3,5
155,DATASET/A1/c1/r1/images/e3/c1r1e3n6.tif,1,1,3,6
156,DATASET/A1/c1/r1/images/e3/c1r1e3n7.tif,1,1,3,7
157,DATASET/A1/c1/r1/images/e3/c1r1e3n8.tif,1,1,3,8
158,DATASET/A1/c1/r1/images/e3/c1r1e3n9.tif,1,1,3,9
159,DATASET/A1/c1/r1/images/e3/c1r1e3n10.tif,1,1,3,10
160,DATASET/A1/c1/r1/images/e3/c1r1e3n11.tif,1,1,3,11
161,DATASET/A1/c1/r1/images/e3/c1r1e3n12.tif,1,1,3,12
162,DATASET/A1/c1/r1/images/e3/c1r1e3n13.tif,1,1,3,13
163,DATASET/A1/c1/r1/images/e3/c1r1e3n14.tif,1,1,3,14
164,DATASET/A1/c1/r1/images/e3/c1r1e3n15.tif,1,1,3,15
165,DATASET/A1/c1/r1/images/e3/c1r1e3n16.tif,1,1,3,16
166,DATASET/A1/c1/r1/images/e3/c1r1e3n17.tif,1,1,3,17
167,DATASET/A1/c1/r1/images/e3/c1r1e3n18.tif,1,1,3,18
168,DATASET/A1/c1/r1/images/e3/c1r1e3n19.tif,1,1,3,19
169,DATASET/A1/c1/r1/images/e3/c1r1e3n20.tif,1,1,3,20
170,DATASET/A1/c1/r1/images/e3/c1r1e3n21.tif,1,1,3,21
171,DATASET/A1/c1/r1/images/e3/c1r1e3n22.tif,1,1,3,22
172,DATASET/A1/c1/r1/images/e3/c1r1e3n23.tif,1,1,3,23
173,DATASET/A1/c1/r1/images/e3/c1r1e3n24.tif,1,1,3,24
174,DATASET/A1/c1/r1/images/e3/c1r1e3n25.tif,1,1,3,25
175,DATASET/A1/c1/r1/images/e3/c1r1e3n26.tif,1,1,3,26
176,DATASET/A1/c1/r1/images/e3/c1r1e3n27.tif,1,1,3,27
177,DATASET/A1/c1/r1/images/e3/c1r1e3n28.tif,1,1,3,28
178,DATASET/A1/c1/r1/images/e3/c1r1e3n29.tif,1,1,3,29
179,DATASET/A1/c1/r1/images/e3/c1r1e3n30.tif,1,1,3,30
180,DATASET/A1/c1/r1/images/e3/c1r1e3n31.tif,1,1,3,31
181,DATASET/A1/c1/r1/images/e3/c1r1e3n32.tif,1,1,3,32
182,DATASET/A1/c1/r1/images/e3/c1r1e3n33.tif,1,1,3,33
183,DATASET/A1/c1/r1/images/e3/c1r1e3n34.tif,1,1,3,34
184,DATASET/A1/c1/r1/images/e3/c1r1e3n35.tif,1,1,3,35
185,DATASET/A1/c1/r1/images/e3/c1r1e3n36.tif,1,1,3,36
186,DATASET/A1/c1/r1/images/e3/c1r1e3n37.tif,1,1,3,37
187,DATASET/A1/c1/r1/images/e3/c1r1e3n38.tif,1,1,3,38
188,DATASET/A1/c1/r1/images/e3/c1r1e3n39.tif,1,1,3,39
189,DATASET/A1/c1/r1/images/e3/c1r1e3n40.tif,1,1,3,40
190,DATASET/A1/c1/r1/images/e3/c1r1e3n41.tif,1,1,3,41
191,DATASET/A1/c1/r1/images/e3/c1r1e3n42.tif,1,1,3,42
192,DATASET/A1/c1/r1/images/e3/c1r1e3n43.tif,1,1,3,43
193,DATASET/A1/c1/r1/images/e3/c1r1e3n44.tif,1,1,3,44
194,DATASET/A1/c1/r1/images/e3/c1r1e3n45.tif,1,1,3,45
195,DATASET/A1/c1/r1/images/e3/c1r1e3n46.tif,1,1,3,46
196,DATASET/A1/c1/r1/images/e3/c1r1e3n47.tif,1,1,3,47
197,DATASET/A1/c1/r1/images/e3/c1r1e3n48.tif,1,1,3,48
198,DATASET/A1/c1/r1/images/e3/c1r1e3n49.tif,1,1,3,49
199,DATASET/A1/c1/r1/images/e3/c1r1e3n50.tif,1,1,3,50
200,DATASET/A1/c1/r1/images/e4/c1r1e4n1.tif,1,1,4,1
201,DATASET/A1/c1/r1/images/e4/c1r1e4n2.tif,1,1,4,2
202,DATASET/A1/c1/r1/images/e4/c1r1e4n3.tif,1,1,4,3
203,DATASET/A1/c1/r1/images/e4/c1r1e4n4.tif,1,1,4,4
204,DATASET/A1/c1/r1/images/e4/c1r1e4n5.tif,1,1,4,5
205,DATASET/A1/c1/r1/images/e4/c1r1e4n6.tif,1,1,4,6
206,DATASET/A1/c1/r1/images/e4/c1r1e4n7.tif,1,1,4,7
207,DATASET/A1/c1/r1/images/e4/c1r1e4n8.tif,1,1,4,8
208,DATASET/A1/c1/r1/images/e4/c1r1e4n9.tif,1,1,4,9
209,DATASET/A1/c1/r1/images/e4/c1r1e4n10.tif,1,1,4,10
210,DATASET/A1/c1/r1/images/e4/c1r1e4n11.tif,1,1,4,11
211,DATASET/A1/c1/r1/images/e4/c1r1e4n12.tif,1,1,4,12
212,DATASET/A1/c1/r1/images/e4/c1r1e4n13.tif,1,1,4,13
213,DATASET/A1/c1/r1/images/e4/c1r1e4n14.tif,1,1,4,14
214,DATASET/A1/c1/r1/images/e4/c1r1e4n15.tif,1,1,4,15
215,DATASET/A1/c1/r1/images/e4/c1r1e4n16.tif,1,1,4,16
216,DATASET/A1/c1/r1/images/e4/c1r1e4n17.tif,1,1,4,17
217,DATASET/A1/c1/r1/images/e4/c1r1e4n18.tif,1,1,4,18
218,DATASET/A1/c1/r1/images/e4/c1r1e4n19.tif,1,1,4,19
219,DATASET/A1/c1/r1/images/e4/c1r1e4n20.tif,1,1,4,20
220,DATASET/A1/c1/r1/images/e4/c1r1e4n21.tif,1,1,4,21
221,DATASET/A1/c1/r1/images/e4/c1r1e4n22.tif,1,1,4,22
222,DATASET/A1/c1/r1/images/e4/c1r1e4n23.tif,1,1,4,23
223,DATASET/A1/c1/r1/images/e4/c1r1e4n24.tif,1,1,4,24
224,DATASET/A1/c1/r1/images/e4/c1r1e4n25.tif,1,1,4,25
225,DATASET/A1/c1/r1/images/e4/c1r1e4n26.tif,1,1,4,26
226,DATASET/A1/c1/r1/images/e4/c1r1e4n27.tif,1,1,4,27
227,DATASET/A1/c1/r1/images/e4/c1r1e4n28.tif,1,1,4,28
228,DATASET/A1/c1/r1/images/e4/c1r1e4n29.tif,1,1,4,29
229,DATASET/A1/c1/r1/images/e4/c1r1e4n30.tif,1,1,4,30
230,DATASET/A1/c1/r1/images/e4/c1r1e4n31.tif,1,1,4,31
231,DATASET/A1/c1/r1/images/e4/c1r1e4n32.tif,1,1,4,32
232,DATASET/A1/c1/r1/images/e4/c1r1e4n33.tif,1,1,4,33
233,DATASET/A1/c1/r1/images/e4/c1r1e4n34.tif,1,1,4,34
234,DATASET/A1/c1/r1/images/e4/c1r1e4n35.tif,1,1,4,35
235,DATASET/A1/c1/r1/images/e4/c1r1e4n36.tif,1,1,4,36
236,DATASET/A1/c1/r1/images/e4/c1r1e4n37.tif,1,1,4,37
237,DATASET/A1/c1/r1/images/e4/c1r1e4n38.tif,1,1,4,38
238,DATASET/A1/c1/r1/images/e4/c1r1e4n39.tif,1,1,4,39
239,DATASET/A1/c1/r1/images/e4/c1r1e4n40.tif,1,1,4,40
240,DATASET/A1/c1/r1/images/e4/c1r1e4n41.tif,1,1,4,41
241,DATASET/A1/c1/r1/images/e4/c1r1e4n42.tif,1,1,4,42
242,DATASET/A1/c1/r1/images/e4/c1r1e4n43.tif,1,1,4,43
243,DATASET/A1/c1/r1/images/e4/c1r1e4n44.tif,1,1,4,44
244,DATASET/A1/c1/r1/images/e4/c1r1e4n45.tif,1,1,4,45
245,DATASET/A1/c1/r1/images/e4/c1r1e4n46.tif,1,1,4,46
246,DATASET/A1/c1/r1/images/e4/c1r1e4n47.tif,1,1,4,47
247,DATASET/A1/c1/r1/images/e4/c1r1e4n48.tif,1,1,4,48
248,DATASET/A1/c1/r1/images/e4/c1r1e4n49.tif,1,1,4,49
249,DATASET/A1/c1/r1/images/e4/c1r1e4n50.tif,1,1,4,50
250,DATASET/A1/c1/r1/images/e5/c1r1e5n1.tif,1,1,5,1
251,DATASET/A1/c1/r1/images/e5/c1r1e5n2.tif,1,1,5,2
252,DATASET/A1/c1/r1/images/e5/c1r1e5n3.tif,1,1,5,3
253,DATASET/A1/c1/r1/images/e5/c1r1e5n4.tif,1,1,5,4
254,DATASET/A1/c1/r1/images/e5/c1r1e5n5.tif,1,1,5,5
255,DATASET/A1/c1/r1/images/e5/c1r1e5n6.tif,1,1,5,6
256,DATASET/A1/c1/r1/images/e5/c1r1e5n7.tif,1,1,5,7
257,DATASET/A1/c1/r1/images/e5/c1r1e5n8.tif,1,1,5,8
258,DATASET/A1/c1/r1/images/e5/c1r1e5n9.tif,1,1,5,9
259,DATASET/A1/c1/r1/images/e5/c1r1e5n10.tif,1,1,5,10
260,DATASET/A1/c1/r1/images/e5/c1r1e5n11.tif,1,1,5,11
261,DATASET/A1/c1/r1/images/e5/c1r1e5n12.tif,1,1,5,12
262,DATASET/A1/c1/r1/images/e5/c1r1e5n13.tif,1,1,5,13
263,DATASET/A1/c1/r1/images/e5/c1r1e5n14.tif,1,1,5,14
264,DATASET/A1/c1/r1/images/e5/c1r1e5n15.tif,1,1,5,15
265,DATASET/A1/c1/r1/images/e5/c1r1e5n16.tif,1,1,5,16
266,DATASET/A1/c1/r1/images/e5/c1r1e5n17.tif,1,1,5,17
267,DATASET/A1/c1/r1/images/e5/c1r1e5n18.tif,1,1,5,18
268,DATASET/A1/c1/r1/images/e5/c1r1e5n19.tif,1,1,5,19
269,DATASET/A1/c1/r1/images/e5/c1r1e5n20.tif,1,1,5,20
270,DATASET/A1/c1/r1/images/e5/c1r1e5n21.tif,1,1,5,21
271,DATASET/A1/c1/r1/images/e5/c1r1e5n22.tif,1,1,5,22
272,DATASET/A1/c1/r1/images/e5/c1r1e5n23.tif,1,1,5,23
273,DATASET/A1/c1/r1/images/e5/c1r1e5n24.tif,1,1,5,24
274,DATASET/A1/c1/r1/images/e5/c1r1e5n25.tif,1,1,5,25
275,DATASET/A1/c1/r1/images/e5/c1r1e5n26.tif,1,1,5,26
276,DATASET/A1/c1/r1/images/e5/c1r1e5n27.tif,1,1,5,27
277,DATASET/A1/c1/r1/images/e5/c1r1e5n28.tif,1,1,5,28
278,DATASET/A1/c1/r1/images/e5/c1r1e5n29.tif,1,1,5,29
279,DATASET/A1/c1/r1/images/e5/c1r1e5n30.tif,1,1,5,30
280,DATASET/A1/c1/r1/images/e5/c1r1e5n31.tif,1,1,5,31
281,DATASET/A1/c1/r1/images/e5/c1r1e5n32.tif,1,1,5,32
282,DATASET/A1/c1/r1/images/e5/c1r1e5n33.tif,1,1,5,33
283,DATASET/A1/c1/r1/images/e5/c1r1e5n34.tif,1,1,5,34
284,DATASET/A1/c1/r1/images/e5/c1r1e5n35.tif,1,1,5,35
285,DATASET/A1/c1/r1/images/e5/c1r1e5n36.tif,1,1,5,36
286,DATASET/A1/c1/r1/images/e5/c1r1e5n37.tif,1,1,5,37
287,DATASET/A1/c1/r1/images/e5/c1r1e5n38.tif,1,1,5,38
288,DATASET/A1/c1/r1/images/e5/c1r1e5n39.tif,1,1,5,39
289,DATASET/A1/c1/r1/images/e5/c1r1e5n40.tif,1,1,5,40
290,DATASET/A1/c1/r1/images/e5/c1r1e5n41.tif,1,1,5,41
291,DATASET/A1/c1/r1/images/e5/c1r1e5n42.tif,1,1,5,42
292,DATASET/A1/c1/r1/images/e5/c1r1e5n43.tif,1,1,5,43
293,DATASET/A1/c1/r1/images/e5/c1r1e5n44.tif,1,1,5,44
294,DATASET/A1/c1/r1/images/e5/c1r1e5n45.tif,1,1,5,45
295,DATASET/A1/c1/r1/images/e5/c1r1e5n46.tif,1,1,5,46
296,DATASET/A1/c1/r1/images/e5/c1r1e5n47.tif,1,1,5,47
297,DATASET/A1/c1/r1/images/e5/c1r1e5n48.tif,1,1,5,48
298,DATASET/A1/c1/r1/images/e5/c1r1e5n49.tif,1,1,5,49
299,DATASET/A1/c1/r1/images/e5/c1r1e5n50.tif,1,1,5,50
300,DATASET/A1/c1/r1/images/e6/c1r1e6n1.tif,1,1,6,1
301,DATASET/A1/c1/r1/images/e6/c1r1e6n2.tif,1,1,6,2
302,DATASET/A1/c1/r1/images/e6/c1r1e6n3.tif,1,1,6,3
303,DATASET/A1/c1/r1/images/e6/c1r1e6n4.tif,1,1,6,4
304,DATASET/A1/c1/r1/images/e6/c1r1e6n5.tif,1,1,6,5
305,DATASET/A1/c1/r1/images/e6/c1r1e6n6.tif,1,1,6,6
306,DATASET/A1/c1/r1/images/e6/c1r1e6n7.tif,1,1,6,7
307,DATASET/A1/c1/r1/images/e6/c1r1e6n8.tif,1,1,6,8
308,DATASET/A1/c1/r1/images/e6/c1r1e6n9.tif,1,1,6,9
309,DATASET/A1/c1/r1/images/e6/c1r1e6n10.tif,1,1,6,10
310,DATASET/A1/c1/r1/images/e6/c1r1e6n11.tif,1,1,6,11
311,DATASET/A1/c1/r1/images/e6/c1r1e6n12.tif,1,1,6,12
312,DATASET/A1/c1/r1/images/e6/c1r1e6n13.tif,1,1,6,13
313,DATASET/A1/c1/r1/images/e6/c1r1e6n14.tif,1,1,6,14
314,DATASET/A1/c1/r1/images/e6/c1r1e6n15.tif,1,1,6,15
315,DATASET/A1/c1/r1/images/e6/c1r1e6n16.tif,1,1,6,16
316,DATASET/A1/c1/r1/images/e6/c1r1e6n17.tif,1,1,6,17
317,DATASET/A1/c1/r1/images/e6/c1r1e6n18.tif,1,1,6,18
318,DATASET/A1/c1/r1/images/e6/c1r1e6n19.tif,1,1,6,19
319,DATASET/A1/c1/r1/images/e6/c1r1e6n20.tif,1,1,6,20
320,DATASET/A1/c1/r1/images/e6/c1r1e6n21.tif,1,1,6,21
321,DATASET/A1/c1/r1/images/e6/c1r1e6n22.tif,1,1,6,22
322,DATASET/A1/c1/r1/images/e6/c1r1e6n23.tif,1,1,6,23
323,DATASET/A1/c1/r1/images/e6/c1r1e6n24.tif,1,1,6,24
324,DATASET/A1/c1/r1/images/e6/c1r1e6n25.tif,1,1,6,25
325,DATASET/A1/c1/r1/images/e6/c1r1e6n26.tif,1,1,6,26
326,DATASET/A1/c1/r1/images/e6/c1r1e6n27.tif,1,1,6,27
327,DATASET/A1/c1/r1/images/e6/c1r1e6n28.tif,1,1,6,28
328,DATASET/A1/c1/r1/images/e6/c1r1e6n29.tif,1,1,6,29
329,DATASET/A1/c1/r1/images/e6/c1r1e6n30.tif,1,1,6,30
330,DATASET/A1/c1/r1/images/e6/c1r1e6n31.tif,1,1,6,31
331,DATASET/A1/c1/r1/images/e6/c1r1e6n32.tif,1,1,6,32
332,DATASET/A1/c1/r1/images/e6/c1r1e6n33.tif,1,1,6,33
333,DATASET/A1/c1/r1/images/e6/c1r1e6n34.tif,1,1,6,34
334,DATASET/A1/c1/r1/images/e6/c1r1e6n35.tif,1,1,6,35
335,DATASET/A1/c1/r1/images/e6/c1r1e6n36.tif,1,1,6,36
336,DATASET/A1/c1/r1/images/e6/c1r1e6n37.tif,1,1,6,37
337,DATASET/A1/c1/r1/images/e6/c1r1e6n38.tif,1,1,6,38
338,DATASET/A1/c1/r1/images/e6/c1r1e6n39.tif,1,1,6,39
339,DATASET/A1/c1/r1/images/e6/c1r1e6n40.tif,1,1,6,40
