,Unnamed: 0,paths,c,r,e,n,pattern,patter_idx
113,113,DATASET/A1/c1/r1/images/e2/c1r1e2n14.tif,1,1,2,14,llisa-fosca,0
114,114,DATASET/A1/c1/r1/images/e2/c1r1e2n15.tif,1,1,2,15,llisa-fosca,0
115,115,DATASET/A1/c1/r1/images/e2/c1r1e2n16.tif,1,1,2,16,llisa-fosca,0
116,116,DATASET/A1/c1/r1/images/e2/c1r1e2n17.tif,1,1,2,17,llisa-fosca,0
117,117,DATASET/A1/c1/r1/images/e2/c1r1e2n18.tif,1,1,2,18,llisa-fosca,0
118,118,DATASET/A1/c1/r1/images/e2/c1r1e2n19.tif,1,1,2,19,llisa-fosca,0
119,119,DATASET/A1/c1/r1/images/e2/c1r1e2n20.tif,1,1,2,20,llisa-fosca,0
120,120,DATASET/A1/c1/r1/images/e2/c1r1e2n21.tif,1,1,2,21,llisa-fosca,0
121,121,DATASET/A1/c1/r1/images/e2/c1r1e2n22.tif,1,1,2,22,llisa-fosca,0
122,122,DATASET/A1/c1/r1/images/e2/c1r1e2n23.tif,1,1,2,23,llisa-fosca,0
123,123,DATASET/A1/c1/r1/images/e2/c1r1e2n24.tif,1,1,2,24,llisa-fosca,0
124,124,DATASET/A1/c1/r1/images/e2/c1r1e2n25.tif,1,1,2,25,llisa-fosca,0
125,125,DATASET/A1/c1/r1/images/e2/c1r1e2n26.tif,1,1,2,26,llisa-fosca,0
126,126,DATASET/A1/c1/r1/images/e2/c1r1e2n27.tif,1,1,2,27,llisa-fosca,0
127,127,DATASET/A1/c1/r1/images/e2/c1r1e2n28.tif,1,1,2,28,llisa-fosca,0
128,128,DATASET/A1/c1/r1/images/e2/c1r1e2n29.tif,1,1,2,29,llisa-fosca,0
129,129,DATASET/A1/c1/r1/images/e2/c1r1e2n30.tif,1,1,2,30,llisa-fosca,0
130,130,DATASET/A1/c1/r1/images/e2/c1r1e2n31.tif,1,1,2,31,llisa-fosca,0
131,131,DATASET/A1/c1/r1/images/e2/c1r1e2n32.tif,1,1,2,32,llisa-fosca,0
132,132,DATASET/A1/c1/r1/images/e2/c1r1e2n33.tif,1,1,2,33,llisa-fosca,0
133,133,DATASET/A1/c1/r1/images/e2/c1r1e2n34.tif,1,1,2,34,llisa-fosca,0
134,134,DATASET/A1/c1/r1/images/e2/c1r1e2n35.tif,1,1,2,35,llisa-fosca,0
135,135,DATASET/A1/c1/r1/images/e2/c1r1e2n36.tif,1,1,2,36,llisa-fosca,0
136,136,DATASET/A1/c1/r1/images/e2/c1r1e2n37.tif,1,1,2,37,llisa-fosca,0
137,137,DATASET/A1/c1/r1/images/e2/c1r1e2n38.tif,1,1,2,38,llisa-fosca,0
138,138,DATASET/A1/c1/r1/images/e2/c1r1e2n39.tif,1,1,2,39,llisa-fosca,0
139,139,DATASET/A1/c1/r1/images/e2/c1r1e2n40.tif,1,1,2,40,llisa-fosca,0
140,140,DATASET/A1/c1/r1/images/e2/c1r1e2n41.tif,1,1,2,41,llisa-fosca,0
141,141,DATASET/A1/c1/r1/images/e2/c1r1e2n42.tif,1,1,2,42,llisa-fosca,0
142,142,DATASET/A1/c1/r1/images/e2/c1r1e2n43.tif,1,1,2,43,llisa-fosca,0
143,143,DATASET/A1/c1/r1/images/e2/c1r1e2n44.tif,1,1,2,44,llisa-fosca,0
144,144,DATASET/A1/c1/r1/images/e2/c1r1e2n45.tif,1,1,2,45,llisa-fosca,0
145,145,DATASET/A1/c1/r1/images/e2/c1r1e2n46.tif,1,1,2,46,llisa-fosca,0
146,146,DATASET/A1/c1/r1/images/e2/c1r1e2n47.tif,1,1,2,47,llisa-fosca,0
147,147,DATASET/A1/c1/r1/images/e2/c1r1e2n48.tif,1,1,2,48,llisa-fosca,0
148,148,DATASET/A1/c1/r1/images/e2/c1r1e2n49.tif,1,1,2,49,llisa-fosca,0
149,149,DATASET/A1/c1/r1/images/e2/c1r1e2n50.tif,1,1,2,50,llisa-fosca,0
150,150,DATASET/A1/c1/r1/images/e3/c1r1e3n1.tif,1,1,3,1,llisa-fosca,0
151,151,DATASET/A1/c1/r1/images/e3/c1r1e3n2.tif,1,1,3,2,llisa-fosca,0
152,152,DATASET/A1/c1/r1/images/e3/c1r1e3n3.tif,1,1,3,3,llisa-fosca,0
153,153,DATASET/A1/c1/r1/images/e3/c1r1e3n4.tif,1,1,3,4,llisa-fosca,0
154,154,DATASET/A1/c1/r1/images/e3/c1r1e3n5.tif,1,1,3,5,llisa-fosca,0
155,155,DATASET/A1/c1/r1/images/e3/c1r1e3n6.tif,1,1,3,6,llisa-fosca,0
156,156,DATASET/A1/c1/r1/images/e3/c1r1e3n7.tif,1,1,3,7,llisa-fosca,0
157,157,DATASET/A1/c1/r1/images/e3/c1r1e3n8.tif,1,1,3,8,llisa-fosca,0
158,158,DATASET/A1/c1/r1/images/e3/c1r1e3n9.tif,1,1,3,9,llisa-fosca,0
159,159,DATASET/A1/c1/r1/images/e3/c1r1e3n10.tif,1,1,3,10,llisa-fosca,0
160,160,DATASET/A1/c1/r1/images/e3/c1r1e3n11.tif,1,1,3,11,llisa-fosca,0
161,161,DATASET/A1/c1/r1/images/e3/c1r1e3n12.tif,1,1,3,12,llisa-fosca,0
162,162,DATASET/A1/c1/r1/images/e3/c1r1e3n13.tif,1,1,3,13,llisa-fosca,0
163,163,DATASET/A1/c1/r1/images/e3/c1r1e3n14.tif,1,1,3,14,llisa-fosca,0
164,164,DATASET/A1/c1/r1/images/e3/c1r1e3n15.tif,1,1,3,15,llisa-fosca,0
165,165,DATASET/A1/c1/r1/images/e3/c1r1e3n16.tif,1,1,3,16,llisa-fosca,0
166,166,DATASET/A1/c1/r1/images/e3/c1r1e3n17.tif,1,1,3,17,llisa-fosca,0
167,167,DATASET/A1/c1/r1/images/e3/c1r1e3n18.tif,1,1,3,18,llisa-fosca,0
168,168,DATASET/A1/c1/r1/images/e3/c1r1e3n19.tif,1,1,3,19,llisa-fosca,0
169,169,DATASET/A1/c1/r1/images/e3/c1r1e3n20.tif,1,1,3,20,llisa-fosca,0
170,170,DATASET/A1/c1/r1/images/e3/c1r1e3n21.tif,1,1,3,21,llisa-fosca,0
171,171,DATASET/A1/c1/r1/images/e3/c1r1e3n22.tif,1,1,3,22,llisa-fosca,0
172,172,DATASET/A1/c1/r1/images/e3/c1r1e3n23.tif,1,1,3,23,llisa-fosca,0
173,173,DATASET/A1/c1/r1/images/e3/c1r1e3n24.tif,1,1,3,24,llisa-fosca,0
174,174,DATASET/A1/c1/r1/images/e3/c1r1e3n25.tif,1,1,3,25,llisa-fosca,0
175,175,DATASET/A1/c1/r1/images/e3/c1r1e3n26.tif,1,1,3,26,llisa-fosca,0
176,176,DATASET/A1/c1/r1/images/e3/c1r1e3n27.tif,1,1,3,27,llisa-fosca,0
177,177,DATASET/A1/c1/r1/images/e3/c1r1e3n28.tif,1,1,3,28,llisa-fosca,0
178,178,DATASET/A1/c1/r1/images/e3/c1r1e3n29.tif,1,1,3,29,llisa-fosca,0
179,179,DATASET/A1/c1/r1/images/e3/c1r1e3n30.tif,1,1,3,30,llisa-fosca,0
180,180,DATASET/A1/c1/r1/images/e3/c1r1e3n31.tif,1,1,3,31,llisa-fosca,0
181,181,DATASET/A1/c1/r1/images/e3/c1r1e3n32.tif,1,1,3,32,llisa-fosca,0
182,182,DATASET/A1/c1/r1/images/e3/c1r1e3n33.tif,1,1,3,33,llisa-fosca,0
183,183,DATASET/A1/c1/r1/images/e3/c1r1e3n34.tif,1,1,3,34,llisa-fosca,0
184,184,DATASET/A1/c1/r1/images/e3/c1r1e3n35.tif,1,1,3,35,llisa-fosca,0
185,185,DATASET/A1/c1/r1/images/e3/c1r1e3n36.tif,1,1,3,36,llisa-fosca,0
186,186,DATASET/A1/c1/r1/images/e3/c1r1e3n37.tif,1,1,3,37,llisa-fosca,0
187,187,DATASET/A1/c1/r1/images/e3/c1r1e3n38.tif,1,1,3,38,llisa-fosca,0
188,188,DATASET/A1/c1/r1/images/e3/c1r1e3n39.tif,1,1,3,39,llisa-fosca,0
189,189,DATASET/A1/c1/r1/images/e3/c1r1e3n40.tif,1,1,3,40,llisa-fosca,0
190,190,DATASET/A1/c1/r1/images/e3/c1r1e3n41.tif,1,1,3,41,llisa-fosca,0
191,191,DATASET/A1/c1/r1/images/e3/c1r1e3n42.tif,1,1,3,42,llisa-fosca,0
192,192,DATASET/A1/c1/r1/images/e3/c1r1e3n43.tif,1,1,3,43,llisa-fosca,0
193,193,DATASET/A1/c1/r1/images/e3/c1r1e3n44.tif,1,1,3,44,llisa-fosca,0
194,194,DATASET/A1/c1/r1/images/e3/c1r1e3n45.tif,1,1,3,45,llisa-fosca,0
195,195,DATASET/A1/c1/r1/images/e3/c1r1e3n46.tif,1,1,3,46,llisa-fosca,0
196,196,DATASET/A1/c1/r1/images/e3/c1r1e3n47.tif,1,1,3,47,llisa-fosca,0
197,197,DATASET/A1/c1/r1/images/e3/c1r1e3n48.tif,1,1,3,48,llisa-fosca,0
198,198,DATASET/A1/c1/r1/images/e3/c1r1e3n49.tif,1,1,3,49,llisa-fosca,0
199,199,DATASET/A1/c1/r1/images/e3/c1r1e3n50.tif,1,1,3,50,llisa-fosca,0
200,200,DATASET/A1/c1/r1/images/e4/c1r1e4n1.tif,1,1,4,1,llisa-fosca,0
201,201,DATASET/A1/c1/r1/images/e4/c1r1e4n2.tif,1,1,4,2,llisa-fosca,0
202,202,DATASET/A1/c1/r1/images/e4/c1r1e4n3.tif,1,1,4,3,llisa-fosca,0
203,203,DATASET/A1/c1/r1/images/e4/c1r1e4n4.tif,1,1,4,4,llisa-fosca,0
204,204,DATASET/A1/c1/r1/images/e4/c1r1e4n5.tif,1,1,4,5,llisa-fosca,0
205,205,DATASET/A1/c1/r1/images/e4/c1r1e4n6.tif,1,1,4,6,llisa-fosca,0
206,206,DATASET/A1/c1/r1/images/e4/c1r1e4n7.tif,1,1,4,7,llisa-fosca,0
207,207,DATASET/A1/c1/r1/images/e4/c1r1e4n8.tif,1,1,4,8,llisa-fosca,0
208,208,DATASET/A1/c1/r1/images/e4/c1r1e4n9.tif,1,1,4,9,llisa-fosca,0
209,209,DATASET/A1/c1/r1/images/e4/c1r1e4n10.tif,1,1,4,10,llisa-fosca,0
210,210,DATASET/A1/c1/r1/images/e4/c1r1e4n11.tif,1,1,4,11,llisa-fosca,0
211,211,DATASET/A1/c1/r1/images/e4/c1r1e4n12.tif,1,1,4,12,llisa-fosca,0
212,212,DATASET/A1/c1/r1/images/e4/c1r1e4n13.tif,1,1,4,13,llisa-fosca,0
213,213,DATASET/A1/c1/r1/images/e4/c1r1e4n14.tif,1,1,4,14,llisa-fosca,0
214,214,DATASET/A1/c1/r1/images/e4/c1r1e4n15.tif,1,1,4,15,llisa-fosca,0
215,215,DATASET/A1/c1/r1/images/e4/c1r1e4n16.tif,1,1,4,16,llisa-fosca,0
216,216,DATASET/A1/c1/r1/images/e4/c1r1e4n17.tif,1,1,4,17,llisa-fosca,0
217,217,DATASET/A1/c1/r1/images/e4/c1r1e4n18.tif,1,1,4,18,llisa-fosca,0
218,218,DATASET/A1/c1/r1/images/e4/c1r1e4n19.tif,1,1,4,19,llisa-fosca,0
219,219,DATASET/A1/c1/r1/images/e4/c1r1e4n20.tif,1,1,4,20,llisa-fosca,0
220,220,DATASET/A1/c1/r1/images/e4/c1r1e4n21.tif,1,1,4,21,llisa-fosca,0
221,221,DATASET/A1/c1/r1/images/e4/c1r1e4n22.tif,1,1,4,22,llisa-fosca,0
222,222,DATASET/A1/c1/r1/images/e4/c1r1e4n23.tif,1,1,4,23,llisa-fosca,0
223,223,DATASET/A1/c1/r1/images/e4/c1r1e4n24.tif,1,1,4,24,llisa-fosca,0
224,224,DATASET/A1/c1/r1/images/e4/c1r1e4n25.tif,1,1,4,25,llisa-fosca,0
225,225,DATASET/A1/c1/r1/images/e4/c1r1e4n26.tif,1,1,4,26,llisa-fosca,0
226,226,DATASET/A1/c1/r1/images/e4/c1r1e4n27.tif,1,1,4,27,llisa-fosca,0
227,227,DATASET/A1/c1/r1/images/e4/c1r1e4n28.tif,1,1,4,28,llisa-fosca,0
228,228,DATASET/A1/c1/r1/images/e4/c1r1e4n29.tif,1,1,4,29,llisa-fosca,0
229,229,DATASET/A1/c1/r1/images/e4/c1r1e4n30.tif,1,1,4,30,llisa-fosca,0
230,230,DATASET/A1/c1/r1/images/e4/c1r1e4n31.tif,1,1,4,31,llisa-fosca,0
231,231,DATASET/A1/c1/r1/images/e4/c1r1e4n32.tif,1,1,4,32,llisa-fosca,0
232,232,DATASET/A1/c1/r1/images/e4/c1r1e4n33.tif,1,1,4,33,llisa-fosca,0
233,233,DATASET/A1/c1/r1/images/e4/c1r1e4n34.tif,1,1,4,34,llisa-fosca,0
234,234,DATASET/A1/c1/r1/images/e4/c1r1e4n35.tif,1,1,4,35,llisa-fosca,0
235,235,DATASET/A1/c1/r1/images/e4/c1r1e4n36.tif,1,1,4,36,llisa-fosca,0
236,236,DATASET/A1/c1/r1/images/e4/c1r1e4n37.tif,1,1,4,37,llisa-fosca,0
237,237,DATASET/A1/c1/r1/images/e4/c1r1e4n38.tif,1,1,4,38,llisa-fosca,0
238,238,DATASET/A1/c1/r1/images/e4/c1r1e4n39.tif,1,1,4,39,llisa-fosca,0
239,239,DATASET/A1/c1/r1/images/e4/c1r1e4n40.tif,1,1,4,40,llisa-fosca,0
240,240,DATASET/A1/c1/r1/images/e4/c1r1e4n41.tif,1,1,4,41,llisa-fosca,0
241,241,DATASET/A1/c1/r1/images/e4/c1r1e4n42.tif,1,1,4,42,llisa-fosca,0
242,242,DATASET/A1/c1/r1/images/e4/c1r1e4n43.tif,1,1,4,43,llisa-fosca,0
243,243,DATASET/A1/c1/r1/images/e4/c1r1e4n44.tif,1,1,4,44,llisa-fosca,0
244,244,DATASET/A1/c1/r1/images/e4/c1r1e4n45.tif,1,1,4,45,llisa-fosca,0
245,245,DATASET/A1/c1/r1/images/e4/c1r1e4n46.tif,1,1,4,46,llisa-fosca,0
246,246,DATASET/A1/c1/r1/images/e4/c1r1e4n47.tif,1,1,4,47,llisa-fosca,0
247,247,DATASET/A1/c1/r1/images/e4/c1r1e4n48.tif,1,1,4,48,llisa-fosca,0
248,248,DATASET/A1/c1/r1/images/e4/c1r1e4n49.tif,1,1,4,49,llisa-fosca,0
249,249,DATASET/A1/c1/r1/images/e4/c1r1e4n50.tif,1,1,4,50,llisa-fosca,0
250,250,DATASET/A1/c1/r1/images/e5/c1r1e5n1.tif,1,1,5,1,llisa-fosca,0
251,251,DATASET/A1/c1/r1/images/e5/c1r1e5n2.tif,1,1,5,2,llisa-fosca,0
252,252,DATASET/A1/c1/r1/images/e5/c1r1e5n3.tif,1,1,5,3,llisa-fosca,0
253,253,DATASET/A1/c1/r1/images/e5/c1r1e5n4.tif,1,1,5,4,llisa-fosca,0
254,254,DATASET/A1/c1/r1/images/e5/c1r1e5n5.tif,1,1,5,5,llisa-fosca,0
255,255,DATASET/A1/c1/r1/images/e5/c1r1e5n6.tif,1,1,5,6,llisa-fosca,0
256,256,DATASET/A1/c1/r1/images/e5/c1r1e5n7.tif,1,1,5,7,llisa-fosca,0
257,257,DATASET/A1/c1/r1/images/e5/c1r1e5n8.tif,1,1,5,8,llisa-fosca,0
258,258,DATASET/A1/c1/r1/images/e5/c1r1e5n9.tif,1,1,5,9,llisa-fosca,0
259,259,DATASET/A1/c1/r1/images/e5/c1r1e5n10.tif,1,1,5,10,llisa-fosca,0
260,260,DATASET/A1/c1/r1/images/e5/c1r1e5n11.tif,1,1,5,11,llisa-fosca,0
261,261,DATASET/A1/c1/r1/images/e5/c1r1e5n12.tif,1,1,5,12,llisa-fosca,0
